Country Code,1993-2002,2013-2022,2003-2012
ABW,0,0,0
AFE,0,0,0
AFG,0,0,0
AFW,0,0,0
AGO,0,48.31264877,18.95490074
ALB,0,157.6003265,0
AND,0,0,0
ARB,0,0,0
ARE,0,0,2481.414876
ARG,702.1436768,975.2521057,1234.494697
ARM,0,0,0
ASM,85.80008698,224.4582214,0
ATG,0,0,0
AUS,3509.62793,4348.230713,0
AUT,2670.661255,3985.413737,5500.079698
AZE,0,0,1711.800456
BDI,0,20.12697029,23.19511986
BEL,2826.596959,3479.062891,5040.804145
BEN,0,0,0
BFA,0,46.7533989,0
BGD,0,0,0
BGR,1339.870361,1406.85896,2119.696954
BHR,0,0,383.9641724
BHS,0,0,0
BIH,0,113.1147416,392.6864149
BLR,0,0,1413.568665
BLZ,0,0,0
BMU,0,0,0
BOL,90.6098175,152.5316391,0
BRA,343.951416,595.0954926,863.8371277
BRB,0,0,0
BRN,287.6811523,282.2823792,0
BTN,0,0,0
BWA,0,163.2163239,173.9493103
CAF,0,0,0
CAN,3372.11513,4472.915015,4685.020264
CEB,1390.862481,1686.775187,2513.095268
CHE,3387.845459,3755.829508,5538.619385
CHI,0,0,0
CHL,0,343.1513824,473.6692238
CHN,501.7970755,923.421283,1321.513713
CIV,0,67.65146637,0
CMR,0,0,0
COD,0,0,10.41699982
COG,42.57258835,0,0
COL,0,0,73.63154831
COM,0,0,0
CPV,112.5490952,47.689991,117.868927
CRI,0,260.4620018,427.8768692
CSS,0,0,0
CUB,0,0,0
CUW,0,0,0
CYM,0,0,0
CYP,457.8757019,983.5433167,1322.872586
CZE,1329.313407,2526.829016,3809.256483
DEU,3062.49006,3716.387646,4994.376194
DJI,0,0,0
DMA,0,0,0
DNK,3693.761328,5961.36792,7589.359266
DOM,0,0,0
DZA,0,170.807663,832.4227905
EAP,455.8737578,878.7662412,1177.393409
EAR,0,181.0138066,345.1287366
EAS,907.2280611,1371.598838,1655.911165
ECA,0,1972.634818,1860.308802
ECS,2279.730294,2628.42421,3096.012939
ECU,65.86786728,126.769412,377.6254425
EGY,0,480.180425,687.5830756
EMU,2288.562338,3072.547189,4070.908173
ERI,0,0,0
ESP,1647.398699,2663.638159,2876.601481
EST,2055.386914,2857.118652,3563.305474
ETH,0,27.7024765,67.39564133
EUU,2099.796144,2842.786619,3859.25894
FCS,0,0,0
FIN,0,7616.817166,7101.774685
FJI,0,0,0
FRA,2845.878732,3656.242993,4638.764594
FRO,0,1826.096191,0
FSM,0,0,0
GAB,0,0,0
GBR,2843.424142,4028.736963,4360.185547
GEO,0,0,1418.481988
GHA,0,26.9968996,86.9799881
GIB,0,0,0
GIN,0,0,0
GMB,0,71.02984873,49.97694016
GNB,0,0,0
GNQ,0,0,0
GRC,1218.534139,1891.735535,3348.516385
GRD,0,0,0
GRL,538.2512207,675.1069946,0
GTM,0,30.61216998,17.59840775
GUM,0,291.1984049,0
GUY,0,0,0
HIC,2983.739615,3565.706721,4193.410816
HKG,1262.962207,2666.890857,3863.020562
HND,0,0,111.2688923
HPC,0,0,0
HRV,1412.431458,1473.672974,1856.141859
HTI,0,0,0
HUN,1254.70125,1871.138928,3322.335531
IBD,496.298753,655.6237858,874.7849807
IBT,0,604.2357365,725.2017027
IDA,0,0,0
IDB,0,125.3656343,0
IDN,204.8993988,89.15325165,280.8888702
IDX,0,0,0
IMN,0,0,0
IND,126.6366526,145.8213806,242.1949972
INX,0,0,0
IRL,2147.731044,3189.546729,5092.468804
IRN,0,717.2082886,1120.856094
IRQ,0,400.8058167,101.7580976
ISL,5148.6771,7338.130371,6190.799154
ISR,0,0,0
ITA,1195.751325,1568.519397,2341.335612
JAM,0,0,0
JOR,1897.4104,0,469.6191457
JPN,5060.780134,5182.104639,5354.635959
KAZ,0,410.660497,694.5082126
KEN,0,141.7018967,0
KGZ,0,0,0
KHM,17.90930939,0,30.77437019
KIR,0,0,0
KNA,0,0,0
KOR,2403.975324,4664.664893,7641.774685
