Country Code,1993-2002,2013-2022,2003-2012
ABW,0,0,0
AFE,0,0.619490713,0
AFG,0,0,0
AFW,0,0.151699395,0
AGO,0,0,0.03229
ALB,0,0.120844997,0
AND,0,0,0
ARB,0,0.556087489,0.70676527
ARE,0,0.486220002,1.147261432
ARG,0.422009996,0.496331,0.553465552
ARM,0.225068336,0.255230001,0.217438888
ASM,0,0.318897501,0
ATG,0,0,0
AUS,1.624140024,2.206933975,1.951957524
AUT,1.822385703,2.496727014,3.104901102
AZE,0.342361427,0.224381001,0.205487778
BDI,0,0.148004,0.213119999
BEL,1.881261434,1.957676029,2.795833323
BEN,0,0,0
BFA,0.202162504,0.174971667,0.296376005
BGD,0,0,0
BGR,0.472834289,0.489159003,0.787916674
BHR,0,0,0.101159997
BHS,0,0,0
BIH,0,0.051354998,0.220173334
BLR,0.761612867,0.689616007,0.546966669
BLZ,0,0,0
BMU,0.058850002,0.19784833,0.216780002
BOL,0.298881429,0.157000005,0
BRA,1.039723357,1.070884997,1.220511243
BRB,0,0,0
BRN,0.01592,0.027714999,0.277630001
BTN,0,0,0
BWA,0,0.400224984,0.56099999
CAF,0,0,0
CAN,1.790342842,1.894097996,1.734877785
CEB,0.739505473,0.8191457,1.164294818
CHE,2.320175052,2.711903334,3.177820027
CHI,0,0,0
CHL,0,0.347840001,0.365491249
CHN,0.784262853,1.490242004,2.168681118
CIV,0,0,0.069750004
CMR,0,0,0
COD,0,0.113839998,0.406379998
COG,0,0,0
COL,0.139850001,0.185861,0.297718752
COM,0,0,0
CPV,0,0.06622,0
CRI,0.328420007,0.434527785,0.422680002
CSS,0,0,0
CUB,0.473862857,0.501369002,0.462553751
CUW,0,0,0
CYM,0,0,0
CYP,0.232975999,0.396829,0.614721106
CZE,1.041995687,1.312487006,1.889048907
DEU,2.306751422,2.605977035,3.020584477
DJI,0,0,0
DMA,0,0,0
DNK,2.111707159,2.691335964,2.956426647
DOM,0,0,0
DZA,0.29834,0.141946666,0.534319997
