,Netherlands,United Kingdom,Malaysia,Russian,China,Philippines,Mexico,Australia,Singapore,Japan,Spain,Israel,Denmark,Kuwait,France,Canada,India,Brazil,New Zealand,Norway,USA,Germany,South Africa
Netherlands,4.343248773447209,5.886978648860817,9.230290047283804,7.675652261393336,8.965863499952142,9.249492813568246,9.130145202680964,9.719819489609542,9.260100541728525,9.13813273150943,7.300719914053485,8.100550445621892,6.434504944889563,8.376828907669932,6.058929017852017,8.637392860216641,8.7583214048033,9.11835950385806,9.845170703262994,6.820187201609055,8.731796538780843,6.35932626016525,9.102968167562029
United Kingdom,5.886978648860817,5.224857030786432,9.264818140539331,7.828388568290411,9.005939204726335,9.282211630263694,9.098112328740411,9.74108332234249,9.293664459260896,9.16683112418962,7.141545156512303,8.177813251520192,6.866509861497696,8.445370820669112,5.8375773742263855,8.587614189311708,8.812938071895985,9.08226015181986,9.859908636196893,7.053675610794474,8.682935231109333,6.8417243380733215,9.10869295423024
Malaysia,9.230290047283804,9.264818140539331,5.375227017474822,9.003372043541145,8.37909068142125,7.812322761311154,9.719632019802447,8.78449279549649,5.754295915036647,8.580936709122309,9.313317449500627,8.944428532298371,9.177151979734953,8.758292646273663,9.25305497438372,9.590406985084265,8.253860257940373,9.706285224217682,9.097015894660325,9.186884521779817,9.639348814621448,9.172011620906423,9.050591132754473
Russian,7.675652261393336,7.828388568290411,9.003372043541145,7.3487445327591745,8.664758521058628,9.018855358662234,9.281385802189162,9.581314789383104,9.039762586364397,8.920830363199629,8.145926590887985,7.880044040599836,7.356511012033564,8.023399366279671,7.821769822303512,8.87761225737413,8.376062943337654,9.323014378742235,9.72761455899322,7.408408741292371,8.966298335632985,7.386581747265318,9.117488188821472
China,8.965863499952142,9.005939204726335,8.37909068142125,8.664758521058628,7.059365878391978,7.955186196823582,9.430854068251042,9.10701190142664,8.408417294422328,7.64879269508767,9.130463375571775,8.87444544867756,8.882996187635698,8.736416107072897,9.014961781922702,9.255210481810204,8.238804600475955,9.737907471904157,9.309373612580632,8.858085075562473,9.320024029375917,8.904267555052424,9.365169964147436
Philippines,9.249492813568246,9.282211630263694,7.812322761311154,9.018855358662234,7.955186196823582,5.327938788188169,9.56321590729437,8.748349673282602,7.7818793626944025,8.006214555944553,9.364367044114806,9.083468583451703,9.188666787530707,8.93524396670756,9.282813580059534,9.483680336323483,8.467314685217415,9.843328228701795,9.050030882220758,9.179179371900899,9.532012917150052,9.197405982244664,9.30434424438695
Mexico,9.130145202680964,9.098112328740411,9.719632019802447,9.281385802189162,9.430854068251042,9.56321590729437,6.268233411539125,9.486885912816772,9.718578049897236,9.333653864203999,9.113163060165247,9.432510649813382,9.161446617441454,9.515180401193339,9.127699032448369,8.191253611113307,9.59380932877244,8.830801018265433,9.324327768856502,9.127757791554894,8.018927033003871,9.18391723539253,9.589821467328948
Australia,9.719819489609542,9.74108332234249,8.78449279549649,9.581314789383104,9.10701190142664,8.748349673282602,9.486885912816772,6.949680984189604,8.73514987415509,8.981968175087685,9.77516997290732,9.550998122813581,9.683615518967214,9.455971570144175,9.73732021096371,9.68800210296374,9.246079068400883,9.55185700705637,7.782176801531302,9.679903279118198,9.677963043991504,9.6854615094113,9.289888803669317
Singapore,9.260100541728525,9.293664459260896,5.754295915036647,9.039762586364397,8.408417294422328,7.7818793626944025,9.718578049897236,8.73514987415509,2.2575697352696595,8.580428613889415,9.341380037826339,8.98444867296085,9.208185552018321,8.806307238103349,9.282499159989873,9.604786998961742,8.331835189284602,9.713553292507324,9.061192822261512,9.21693458230237,9.65273575166502,9.203605141145472,9.064498891603789
Japan,9.13813273150943,9.16683112418962,8.580936709122309,8.920830363199629,7.64879269508767,8.006214555944553,9.333653864203999,8.981968175087685,8.580428613889415,5.443231232337022,9.285208483722016,9.124173583675638,9.071369756419353,9.02559303535595,9.182519845058312,9.242867579673678,8.673805410596726,9.780935663954613,9.166987260212926,9.038024788051708,9.298240437298666,9.096910833583678,9.511703431483827
