,Netherlands,United Kingdom,Malaysia,Russian,China,Philippines,Mexico,Australia,Singapore,Japan,Spain,Israel,Denmark,Kuwait,France,Canada,India,Brazil,New Zealand,Norway,USA,Germany,South Africa
Netherlands,-inf,5.529809757111048,7.775911741994498,6.787963683268852,7.644694975052969,7.838728042131839,7.762829656895919,6.822523846042717,6.721969805750737,7.811751517956916,6.8500514769156515,7.859925839850403,7.005274955141559,7.788951215866127,5.539499389951306,6.660302302120773,7.809821943717756,7.717518939036334,5.313766610036199,7.355354184500791,6.706404137513546,6.155201697398396,7.760332039582696
United Kingdom,5.529809757111048,-inf,7.876490630580397,6.453639718469398,7.758601294287639,7.9334641317564865,7.864667751496677,6.501595611723601,6.360189220826891,7.704070770474035,7.086759207695672,7.9527642887050485,6.745632960235684,7.888289736833539,0.8979597411895452,6.270404117512621,7.907205391203599,7.823835079011735,6.120758383020357,7.179654776737502,6.33776216335337,5.389372679960254,7.862412237001049
Malaysia,7.775911741994498,7.876490630580397,-inf,8.092429001077994,5.680116051786338,5.039943615779226,3.432866295856568,8.101924469652511,8.074949863791565,8.487139363135718,7.271415307208278,5.341442209715796,8.15620831065726,3.442664492849899,7.877421867770352,8.059371534507939,4.408875380892725,4.906294774361973,7.686805213723975,8.280727692119676,8.070949783989418,7.956363411685877,3.606345665021875
Russian,6.787963683268852,6.453639718469398,8.092429001077994,-inf,7.998549221712937,8.138588436834768,8.082913266803093,3.4402399058638085,4.036954898116462,7.366664242529516,7.512636545040152,8.154337324582936,5.372161699309091,8.101947410819411,6.449766789186523,4.666437979748629,8.117251850099262,8.0502192314442,6.994133995384256,6.5183294654141095,4.241039157262347,6.03054926303329,8.081100396590298
China,7.644694975052969,7.758601294287639,5.680116051786338,7.998549221712937,-inf,6.1035530324348155,5.568413806321451,8.00897445160701,7.979333021786174,8.424854864150385,7.04368521336669,6.218195805896208,8.06839175941551,5.781525912109628,7.759648986480915,7.962178122996817,5.9273537288924745,5.0616177170016075,7.542434689781442,8.20360022067534,7.974930699765268,7.84803319791208,5.5457718623095245
Philippines,7.838728042131839,7.9334641317564865,5.039943615779226,8.138588436834768,6.1035530324348155,-inf,5.222658991833461,8.147657498375242,8.121904403762281,8.518477924453219,7.373403410742108,3.9954876797971686,8.199576581321606,4.81373712643498,7.934343818870152,8.10704597612117,4.280607119451073,5.668497467481601,7.7552796912616655,8.319114595876266,8.118088155095213,8.009076468363414,5.253803767474457
Mexico,7.762829656895919,7.864667751496677,3.432866295856568,8.082913266803093,5.568413806321451,5.222658991833461,-inf,8.092499089247285,8.06526552549102,8.480736906718388,7.249655458630866,5.479717322131359,8.147283166163257,4.130924575448215,7.865610058716454,8.04953439885894,4.728646009159559,4.646048163581265,7.672495152682085,8.272851619869801,8.061226440660525,7.945453100099262,1.7691630318764824
Australia,6.822523846042717,6.501595611723601,8.101924469652511,3.4402399058638085,8.00897445160701,8.147657498375242,8.092499089247285,-inf,4.475608105211906,7.346753291179366,7.529529560356257,8.16326530799221,5.215660484061752,8.111353348133617,6.497904364269166,4.923717003683027,8.126515590414984,8.06012206023653,7.022345289020262,6.471188440520803,4.611892103196722,6.1028669810620535,8.090703529397752
Singapore,6.721969805750737,6.360189220826891,8.074949863791565,4.036954898116462,7.979333021786174,8.121904403762281,8.06526552549102,4.475608105211906,-inf,7.4018417062606,7.481207036062221,8.137916140578085,5.605733692635043,8.084635299478073,6.355936106050678,3.9052963320035037,8.100204927751546,8.031979597771958,6.940769821715008,6.598644315103213,2.5515095230587193,5.8841294860956905,8.063420348446407
Japan,7.811751517956916,7.704070770474035,8.487139363135718,7.366664242529516,8.424854864150385,8.518477924453219,8.480736906718388,7.346753291179366,7.4018417062606,-inf,8.135458702111249,8.52927592707735,7.2203875937617275,8.493563527785902,7.702963167718717,7.431693557289789,8.503934376804303,8.458891970986224,7.890794255879741,6.807825437151816,7.409637021214888,7.600047130852768,8.479519418271645
Spain,6.8500514769156515,7.086759207695672,7.271415307208278,7.512636545040152,7.04368521336669,7.373403410742108,7.249655458630866,7.529529560356257,7.481207036062221,8.135458702111249,-inf,7.406952776777566,7.623819168832184,7.29291918451412,7.088809393744004,7.452817928126214,7.326966834524036,7.1727677899013385,6.607751817017939,7.827432483479605,7.473952092954943,7.254949374070777,7.245479474218864
Israel,7.859925839850403,7.9527642887050485,5.341442209715796,8.154337324582936,6.218195805896208,3.9954876797971686,5.479717322131359,8.16326530799221,8.137916140578085,8.52927592707735,7.406952776777566,-inf,8.214400547951737,5.179215536101457,7.953627167763049,8.123295461480764,4.841321982816592,5.840500414841002,7.778301233884335,8.332279293086607,8.134160624054156,8.02698360913343,5.503886831467129
Denmark,7.005274955141559,6.745632960235684,8.15620831065726,5.372161699309091,8.06839175941551,8.199576581321606,8.147283166163257,5.215660484061752,5.605733692635043,7.2203875937617275,7.623819168832184,8.214400547951737,-inf,8.165141215958494,6.742742178093871,5.773452177485579,8.179515137201111,8.116658880522618,7.174377368342137,6.135820061986078,5.651814756404767,6.447735671903199,8.14558340983839
Kuwait,7.788951215866127,7.888289736833539,3.442664492849899,8.101947410819411,5.781525912109628,4.81373712643498,4.130924575448215,8.111353348133617,8.084635299478073,8.493563527785902,7.29291918451412,5.179215536101457,8.165141215958494,-inf,7.8892100558505165,8.069208288997316,3.929997046192282,5.114442220158492,7.701051311839419,8.288618858089555,8.080673851646019,7.96726166234096,4.220997468456935
France,5.539499389951306,0.8979597411895452,7.877421867770352,6.449766789186523,7.759648986480915,7.934343818870152,7.865610058716454,6.497904364269166,6.355936106050678,7.702963167718717,7.088809393744004,7.953627167763049,6.742742178093871,7.8892100558505165,-inf,6.265750537631672,7.908108473181265,7.824816640245174,6.1261361141740185,7.177782797874514,6.333412375989051,5.378104632368311,7.863356671002683
Canada,6.660302302120773,6.270404117512621,8.059371534507939,4.666437979748629,7.962178122996817,8.10704597612117,8.04953439885894,4.923717003683027,3.9052963320035037,7.431693557289789,7.452817928126214,8.123295461480764,5.773452177485579,8.069208288997316,6.265750537631672,-inf,8.085018068930967,8.015711679806488,6.891525053553084,6.664108084767715,3.606539259236702,5.735362113889433,8.047659938150373
India,7.809821943717756,7.907205391203599,4.408875380892725,8.117251850099262,5.9273537288924745,4.280607119451073,4.728646009159559,8.126515590414984,8.100204927751546,8.503934376804303,7.326966834524036,4.841321982816592,8.179515137201111,3.929997046192282,7.908108473181265,8.085018068930967,-inf,5.3813468251294285,7.723817947116063,8.301333691718437,8.096304800019665,7.984753459128221,4.779192454599178
