,Netherlands,United Kingdom,Malaysia,Russian,China,Philippines,Mexico,Australia,Singapore,Japan,Spain,Israel,Denmark,Kuwait,France,Canada,India,Brazil,New Zealand,Norway,USA,Germany,South Africa
Netherlands,-inf,-1.5504011246768652,0.31001587670328035,-0.30712901101269957,0.013065686949504565,0.5096955438661666,0.3982352179915736,-1.7528797084231895,-2.780782374716301,0.028740176968027692,-0.058964761834021724,0.41030483239295146,-1.1574299571335036,0.47408338135306544,-1.071979957573025,-4.951692980685073,0.08350964842164643,-0.2774797443096927,-0.2781309711150958,-1.603037016944677,-0.29924576429883426,-0.6746450986063508,0.19295175631901687
United Kingdom,-1.5504011246768652,-inf,0.1408777613566826,-0.6474229553913999,-0.2219086104177127,0.373369793858253,0.2445381820726766,-3.2470539247181267,-1.895968221753092,0.2161753408287804,-0.31392045993681855,0.5419986767723477,-0.6415880098206449,0.3324484979458267,-0.5897012766019153,-1.584299418775663,-0.1336081372836044,-0.6060010378182941,-0.6069056496591206,-4.520960663863754,-0.04757386635959891,-0.3264228924522031,0.0006612093529078767
Malaysia,0.31001587670328035,0.1408777613566826,-inf,-0.4653885973067779,-1.0489786374767534,-1.1995243699644256,-2.073479247533847,0.17409826804466727,0.26348423091702156,0.8723822799742545,-0.8658191915339951,1.054564242910857,0.5174474416569158,-1.4143063551662896,0.534020612843744,0.30481594620279007,-1.2860832758504006,-0.5012782635335222,-0.5004642932263502,0.15028247309581313,0.7442318265819394,0.6274260478795896,-1.8929787051676272
Russian,-0.30712901101269957,-0.6474229553913999,-0.4653885973067779,-inf,-1.2815894827452234,-0.0734005381364918,-0.2828423707242255,-0.5757527448431835,-0.39516972144706486,0.5679879921647867,-1.5741465967612671,0.8077397462977703,0.04864595377161228,-0.13813025175663088,0.07500148078454001,-0.3167892417748269,-1.045431764818879,-3.810585635251848,-3.833121995397253,-0.6268513013560019,0.3899675610814075,0.21904946436574815,-0.7396758836611455
China,0.013065686949504565,-0.2219086104177127,-1.0489786374767534,-1.2815894827452234,-inf,-0.42827399222958046,-0.7422473909887519,-0.17449962283669546,-0.0500714863622156,0.7140808234089915,-2.6533997136489407,0.92442896563304,0.2832555192048968,-0.5219042305331115,0.3041567144665413,0.006061580445071121,-2.604443334187908,-1.3646874644578422,-1.362758428933767,-0.20841858398299726,0.562200216278759,0.42034621252775256,-1.6110749266109576
Philippines,0.5096955438661666,0.373369793858253,-1.1995243699644256,-0.0734005381364918,-0.42827399222958046,-inf,-1.7396036039617506,0.3997890423486965,0.47174852789925315,0.9910053349901025,-0.3256688192547902,1.154381674959506,0.6826306522172262,-2.843125751038503,0.6966980243457237,0.5054388432806772,-0.548720379056736,-0.0975099102382767,-0.0969662683622879,0.38083081280064046,0.8780327171300214,0.7766246367255043,-0.7941616362550405
Mexico,0.3982352179915736,0.2445381820726766,-2.073479247533847,-0.2828423707242255,-0.7422473909887519,-1.7396036039617506,-inf,0.2745360628195792,0.3557174852213877,0.9236044949857567,-0.6043046253676444,1.0974354150906556,0.5897221040641575,-2.1426227933910855,0.6051485824278423,0.39347541615103476,-0.9110580214145039,-0.3126534624969764,-0.3119793688565597,0.2530207409233691,0.8022578113877582,0.6924126243395705,-1.286014756657917
Australia,-1.7528797084231895,-3.2470539247181267,0.17409826804466727,-0.5757527448431835,-0.17449962283669546,0.3997890423486965,0.2745360628195792,-inf,-2.1956674862320207,0.18434567854333248,-0.2620588439130974,0.5191219699165113,-0.7183272852052625,0.35995623899704127,-0.6624156836693621,-1.7945464412291998,-0.09012006687196326,-0.5371410796628577,-0.5379854708528252,-3.5751922616497382,-0.08921223929311031,-0.38182954472922015,0.03878796183762876
Singapore,-2.780782374716301,-1.895968221753092,0.26348423091702156,-0.39516972144706486,-0.0500714863622156,0.47174852789925315,0.3557174852213877,-2.1956674862320207,-inf,0.08722957401626046,-0.12698146176079012,0.4506087403254654,-0.9774140806904783,0.4347332195595453,-0.9055485463038718,-2.9019038819648535,0.024795743857525428,-0.3628354193321336,-0.36354469387178506,-1.9711663466298721,-0.2189434192311105,-0.5597933051906782,0.1404871506524044
Japan,0.028740176968027692,0.2161753408287804,0.8723822799742545,0.5679879921647867,0.7140808234089915,0.9910053349901025,0.9236044949857567,0.18434567854333248,0.08722957401626046,-inf,0.6789960996479015,-0.7378934880503297,-0.33566258507750096,0.9691480797321458,-0.3756726719960895,0.03558776428645494,0.7496470082740967,0.580453214655957,0.5801771217387759,0.20737300418241036,-1.2455590560941543,-0.6542726657879473,0.8073600471848448
