,Netherlands,United Kingdom,Malaysia,Russian,China,Philippines,Mexico,Australia,Singapore,Japan,Spain,Israel,Denmark,Kuwait,France,Canada,India,Brazil,New Zealand,Norway,USA,Germany,South Africa
Netherlands,-inf,4.060443010546419,3.4011973816621555,3.332204510175204,2.4849066497880004,3.4011973816621555,3.295836866004329,3.091042453358316,3.1780538303479458,3.295836866004329,1.0986122886681098,3.1354942159291497,3.295836866004329,3.332204510175204,3.295836866004329,3.5263605246161616,3.295836866004329,3.295836866004329,2.833213344056216,3.1780538303479458,6.8690144506657065,3.1780538303479458,2.5649493574615367
United Kingdom,4.060443010546419,-inf,4.477336814478207,4.454347296253507,4.248495242049359,4.477336814478207,4.442651256490317,3.58351893845611,4.406719247264253,4.442651256490317,4.007333185232471,4.394449154672439,4.442651256490317,4.454347296253507,4.442651256490317,3.1780538303479458,4.442651256490317,4.442651256490317,4.31748811353631,4.406719247264253,6.806829360392176,4.406719247264253,4.2626798770413155
Malaysia,3.4011973816621555,4.477336814478207,-inf,0.6931471805599453,2.8903717578961645,-inf,1.0986122886681098,3.9512437185814275,1.791759469228055,1.0986122886681098,3.4965075614664802,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.1588830833596715,1.0986122886681098,1.0986122886681098,2.5649493574615367,1.791759469228055,6.899723107284872,1.791759469228055,2.833213344056216
Russian,3.332204510175204,4.454347296253507,0.6931471805599453,-inf,2.772588722239781,0.6931471805599453,0.0,3.912023005428146,1.3862943611198906,0.0,3.4339872044851463,1.6094379124341003,0.0,-inf,0.0,4.127134385045092,0.0,0.0,2.3978952727983707,1.3862943611198906,6.897704943128636,1.3862943611198906,2.70805020110221
China,2.4849066497880004,4.248495242049359,2.8903717578961645,2.772588722239781,-inf,2.8903717578961645,2.70805020110221,3.5263605246161616,2.4849066497880004,2.70805020110221,2.70805020110221,2.3978952727983707,2.70805020110221,2.772588722239781,2.70805020110221,3.828641396489095,2.70805020110221,2.70805020110221,1.6094379124341003,2.4849066497880004,6.881411303642535,2.4849066497880004,0.0
Philippines,3.4011973816621555,4.477336814478207,-inf,0.6931471805599453,2.8903717578961645,-inf,1.0986122886681098,3.9512437185814275,1.791759469228055,1.0986122886681098,3.4965075614664802,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.0986122886681098,4.1588830833596715,1.0986122886681098,1.0986122886681098,2.5649493574615367,1.791759469228055,6.899723107284872,1.791759469228055,2.833213344056216
Mexico,3.295836866004329,4.442651256490317,1.0986122886681098,0.0,2.70805020110221,1.0986122886681098,-inf,3.8918202981106265,1.0986122886681098,-inf,3.4011973816621555,1.3862943611198906,-inf,0.0,-inf,4.110873864173311,-inf,-inf,2.302585092994046,1.0986122886681098,6.8966943316227125,1.0986122886681098,2.6390573296152584
Australia,3.091042453358316,3.58351893845611,3.9512437185814275,3.912023005428146,3.5263605246161616,3.9512437185814275,3.8918202981106265,-inf,3.828641396489095,3.8918202981106265,2.9444389791664403,3.8066624897703196,3.8918202981106265,3.912023005428146,3.8918202981106265,2.4849066497880004,3.8918202981106265,3.8918202981106265,3.6635616461296463,3.828641396489095,6.84587987526405,3.828641396489095,3.5553480614894135
Singapore,3.1780538303479458,4.406719247264253,1.791759469228055,1.3862943611198906,2.4849066497880004,1.791759469228055,1.0986122886681098,3.828641396489095,-inf,1.0986122886681098,3.295836866004329,0.0,1.0986122886681098,1.3862943611198906,1.0986122886681098,4.060443010546419,1.0986122886681098,1.0986122886681098,1.9459101490553132,-inf,6.893656354602635,-inf,2.3978952727983707
Japan,3.295836866004329,4.442651256490317,1.0986122886681098,0.0,2.70805020110221,1.0986122886681098,-inf,3.8918202981106265,1.0986122886681098,-inf,3.4011973816621555,1.3862943611198906,-inf,0.0,-inf,4.110873864173311,-inf,-inf,2.302585092994046,1.0986122886681098,6.8966943316227125,1.0986122886681098,2.6390573296152584
