,Netherlands,United Kingdom,Malaysia,Russian,China,Philippines,Mexico,Australia,Singapore,Japan,Spain,Israel,Denmark,Kuwait,France,Canada,India,Brazil,New Zealand,Norway,USA,Germany,South Africa
Netherlands,,,25.0,255.0,813.0,,20.0,38.0,14.0,74.0,1027.0,96.0,73.0,2.0,393.0,63.0,53.0,66.0,8.0,93.0,245.0,4197.0,51.0
United Kingdom,,,9011.0,1461.0,17483.0,,1466.0,1293.0,3870.0,5741.0,7308.0,1609.0,1682.0,551.0,12135.0,3098.0,6016.0,1011.0,422.0,3603.0,12274.0,12530.0,1038.0
Malaysia,25.0,9011.0,,25.0,10849.0,14.0,,17574.0,486.0,112.0,2.0,,6.0,,26.0,6.0,92.0,2.0,893.0,8.0,32.0,14.0,126.0
Russian,255.0,1461.0,25.0,,,3.0,,599.0,,,148.0,,187.0,,1924.0,351.0,10.0,4.0,58.0,458.0,,,
China,813.0,17483.0,10849.0,,,672.0,,17343.0,20.0,13.0,215.0,,375.0,,6.0,24.0,39.0,,8481.0,238.0,19.0,15.0,
Philippines,,,14.0,3.0,672.0,,,11.0,2.0,27.0,1.0,2.0,,1.0,1.0,26.0,80.0,1.0,2.0,4.0,426.0,2.0,
Mexico,20.0,1466.0,,,,,,334.0,,,1573.0,,23.0,,1136.0,20.0,4.0,12.0,23.0,26.0,830.0,,
Australia,38.0,1293.0,17574.0,599.0,17343.0,11.0,334.0,,16184.0,3271.0,158.0,267.0,307.0,98.0,610.0,2581.0,9539.0,404.0,,21.0,9037.0,2049.0,1708.0
Singapore,14.0,3870.0,486.0,,20.0,2.0,,16184.0,,,,,7.0,,36.0,366.0,5.0,,192.0,3.0,,,
Japan,74.0,5741.0,112.0,,13.0,27.0,,3271.0,,,102.0,,38.0,,1483.0,1149.0,65.0,10.0,502.0,28.0,,,
Spain,1027.0,7308.0,2.0,148.0,215.0,1.0,1573.0,158.0,,102.0,,77.0,309.0,28.0,5340.0,63.0,53.0,1191.0,9.0,61.0,531.0,4499.0,7.0
Israel,96.0,1609.0,,,,2.0,,267.0,,,77.0,,39.0,,251.0,201.0,,,12.0,13.0,,,
Denmark,73.0,1682.0,6.0,187.0,375.0,,23.0,307.0,7.0,38.0,309.0,39.0,,,291.0,60.0,25.0,52.0,41.0,841.0,210.0,595.0,21.0
Kuwait,2.0,551.0,,,,1.0,,98.0,,,28.0,,,,72.0,147.0,30.0,,2.0,,,,
France,393.0,12135.0,26.0,1924.0,6.0,1.0,1136.0,610.0,36.0,1483.0,5340.0,251.0,291.0,72.0,,1067.0,49.0,1448.0,91.0,134.0,2470.0,5276.0,69.0
Canada,63.0,3098.0,6.0,351.0,24.0,26.0,20.0,2581.0,366.0,1149.0,63.0,201.0,60.0,147.0,1067.0,,80.0,3.0,141.0,50.0,5790.0,477.0,111.0
India,53.0,6016.0,92.0,10.0,39.0,80.0,4.0,9539.0,5.0,65.0,53.0,,25.0,30.0,49.0,80.0,,5.0,952.0,114.0,331.0,19.0,31.0
Brazil,66.0,1011.0,2.0,4.0,,1.0,12.0,404.0,,10.0,1191.0,,52.0,,1448.0,3.0,5.0,,23.0,26.0,8.0,15.0,6.0
New Zealand,8.0,422.0,893.0,58.0,8481.0,2.0,23.0,,192.0,502.0,9.0,12.0,41.0,2.0,91.0,141.0,952.0,23.0,,175.0,733.0,431.0,47.0
Norway,93.0,3603.0,8.0,458.0,238.0,4.0,26.0,21.0,3.0,28.0,61.0,13.0,841.0,,134.0,50.0,114.0,26.0,175.0,,316.0,450.0,16.0
USA,245.0,12274.0,32.0,,19.0,426.0,830.0,9037.0,,,531.0,,210.0,,2470.0,5790.0,331.0,8.0,733.0,316.0,,,
Germany,4197.0,12530.0,14.0,,15.0,2.0,,2049.0,,,4499.0,,595.0,,5276.0,477.0,19.0,15.0,431.0,450.0,,,
South Africa,51.0,1038.0,126.0,,,,,1708.0,,,7.0,,21.0,,69.0,111.0,31.0,6.0,47.0,16.0,,,
