,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,5.867637627676222,8.531903265805521,8.396492277891683,8.379784577789517,8.63487257725672,9.656448898660868,6.52703629422774,8.500229925316205,9.69110464724541,9.307094054882963,8.459172476489782,8.14964708421685,0.0,8.643223017515412,8.735048866523458,8.630028183448196,8.575601335129507,8.420153296516911,8.70779966663098,0.0,8.19578279366353,8.55131496550785,8.875223096979727,8.646757048771438,9.551761769841004,8.76526753183259,8.495153287281601,8.577052343865146,8.509951835973613,8.802615713004597,9.340733344909658,8.41404866308829,9.004384389514536,8.657322370699493,8.180343843697573,9.276889058876108,8.417707164887512,8.69620093024213,7.794412853850501,8.688215484622884,8.150873889809768,8.539743804245143,8.42612012236648,9.589852940786221,9.535058079728792,0.0,9.722854369636483,8.48042297733608,8.272525396674899,7.642034326047055,8.172664468286028,8.886137873312574,8.264331652691196,9.503781330167586,8.600760143178245
Slovenia,8.531903265805521,3.980273067767346,7.0705405730017326,7.111227410392101,6.991706645578463,9.357099515869084,8.651541025661578,5.627205199872345,9.314864337823767,9.685403057588644,5.944438189017667,7.712468878684095,0.0,9.27626855209029,9.05365907617296,6.309868458803732,6.199175018733075,7.444729235751016,7.1153838937026,0.0,7.400863675492964,6.981760102959126,7.6481714673395755,6.89418136888833,9.22673720613753,7.432411615962231,7.310331551754001,7.353214519026872,4.765119165992783,7.378105723080648,8.871711471426265,9.164262925059973,9.000886562087548,6.820883128663661,7.7537535810233535,8.794142725670435,7.398897652326245,9.149840404890025,8.146167480319017,6.872891126223621,7.789854900021024,6.584728545107001,6.575895448840998,9.170802656583,9.136941809670242,0.0,9.416418330894498,9.19663477794007,7.152859128146326,8.362853427046957,9.06133234600753,8.334365906763503,8.951911423983292,9.82435180844675,8.649563184877769
Greece,8.396492277891683,7.0705405730017326,4.9160110123434055,7.528708577425601,7.090747444201323,9.368318859249136,8.519976115488404,7.1574239092357015,9.37429681775216,9.63034000690866,7.0245983174239806,7.051644345227071,0.0,9.193083220206546,8.905731309616929,7.41616859547315,6.95693679513482,7.809965341888253,7.781075877403478,0.0,6.705930362107102,7.666472479751521,7.956397257382267,7.679210740890574,9.332078243615786,7.956904877385829,7.786708355636039,7.86572715620076,6.984180991670372,7.771869379072693,9.019154442463021,9.076568378981142,8.86905468928844,7.6445484627934395,7.0905050774008895,8.955692092584234,7.776853769328193,9.160938445718477,7.798385580080953,7.6490857729481645,7.169221447974898,7.497734538391152,6.184730783460856,9.255927316071551,9.1654770974732,0.0,9.439327615612646,9.111970476010823,7.30123484660229,8.090806444151593,8.978456863261234,8.191926101997153,8.938982596857045,9.771287273586575,8.428317167962511
Lithuania,8.379784577789517,7.111227410392101,7.528708577425601,4.565543622488699,7.738878895806011,9.45181723637882,8.524561776588657,6.85539109560813,9.384899377979954,9.633882436259704,6.8143350820345,7.803425256985815,0.0,9.213024765765068,9.091101439516189,7.324488660956101,7.441936622094828,6.408324157273351,7.45561885078659,0.0,7.458914265907521,6.703814420137231,8.046747544495082,7.223079025897667,9.23558405221308,7.626879612610621,6.518383279345983,6.954990902145239,7.081382482519412,7.888478526375466,8.892996986695493,9.089253509689998,9.09988489903845,7.292632571614548,7.872251623256243,8.802604136810274,6.2689574483114985,9.011549619424605,8.118355473561758,7.438557632534648,7.888092535983673,6.709621850822094,7.272074034416072,9.23590285002631,9.250371333712485,0.0,9.500051883722248,9.123166145363637,6.380215074990866,8.325517541184254,8.96479744222402,8.578012805985056,8.789865377020831,9.773851420666187,8.751184413428021
Tunisia,8.63487257725672,6.991706645578463,7.090747444201323,7.738878895806011,5.02643777459969,9.275076998489588,8.734526616589418,7.217124965731175,9.26681805417091,9.702737631713509,7.237714207130234,7.745844873118119,0.0,9.306265817011486,8.993907876069287,7.046769985724536,6.389154842872241,7.93678916763206,7.510221996042963,0.0,7.60036681611075,7.651466287933996,7.445375499742539,7.4823672035388995,9.244143552146879,7.71192849578641,7.850685215411461,7.851442866123243,7.009370991609479,7.149787314400732,8.902149422892862,9.204311333795726,8.883834169055145,7.394193123691293,7.74379081394185,8.842037080100763,7.909029967350548,9.252213334036531,8.187668325828756,7.302380514045098,7.789748518737572,7.476000015936381,7.024600096872066,9.136500702287673,9.041587344927361,0.0,9.347052450850885,9.235494341539692,7.701961085326054,8.390936984618886,9.119432905988095,8.036930073132867,9.064920186895215,9.825071313112373,8.528084267748396
Argentina,9.656448898660868,9.357099515869084,9.368318859249136,9.45181723637882,9.275076998489588,6.438787113458758,9.668898753537176,9.37871174248341,8.05004149155112,9.370235662741846,9.389078850538663,9.425201720337919,0.0,9.631401888008815,9.299063449836328,9.324963754515188,9.321305552118325,9.470494503590675,9.318968742375779,0.0,9.43366550680311,9.400090104765383,9.171792248583689,9.347206822108832,8.90891779636749,9.306828948107842,9.440263291356802,9.414972845584852,9.36358406919046,9.216903785576159,9.036370958723042,9.678508567844142,9.00517621825709,9.334923346665123,9.412596900249616,9.11388949182052,9.466976724772428,9.818585222669528,9.489961038432414,9.312197257082307,9.419857909383477,9.387173561866996,9.37480510716561,8.456649453828586,7.763555605032488,0.0,7.028482420945723,9.673515112345875,9.460786979364999,9.514673050496942,9.734487666938664,9.041519509297682,9.867729278217281,9.182877906883675,9.251804720143152
India,6.52703629422774,8.651541025661578,8.519976115488404,8.524561776588657,8.734526616589418,9.668898753537176,6.525002678007369,8.62534708196712,9.728713243482819,9.246079068400883,8.588544266819998,8.290380165808621,0.0,8.516838928672602,8.67050380420025,8.74017881025977,8.686466995294264,8.560414353630696,8.812938071895985,0.0,8.348268613015335,8.67461685205059,8.959628019554083,8.7583214048033,9.59380932877244,8.865654556075313,8.625908035020586,8.698126952333483,8.631763783808726,8.893167145661321,9.397633715596541,8.253860257940373,8.987290691255991,8.767110933674044,8.311260922566408,9.336961569099461,8.558312485738526,8.673805410596726,7.951023976610971,8.793950303217493,8.284354291738062,8.663121646925164,8.55289946693107,9.634990923497678,9.564620951711383,0.0,9.737228697048954,8.331835189284602,8.430214032089431,7.746244888951106,7.979238205261753,8.933966519909331,8.238804600475955,9.454152058279648,8.601365759464644
Austria,8.500229925316205,5.627205199872345,7.1574239092357015,6.85539109560813,7.217124965731175,9.37871174248341,8.62534708196712,4.690609995378691,9.329840155399705,9.676069252488738,5.373715149395349,7.720007731769395,0.0,9.264248843804328,9.06433157356119,6.529254591197772,6.64302537860315,7.270878488100216,7.121413183460835,0.0,7.379813047039433,6.766802587947099,7.7403452205495045,6.840314202837746,9.226559133911554,7.427736462408782,7.12472782877268,7.209117598680379,5.600936572483894,7.502185934726393,8.872019808250352,9.149625889872434,9.025813745802722,6.818337335806396,7.7704536545975555,8.790740385495324,7.215503179383884,9.120531959655011,8.136408793388586,6.942295826456511,7.802321329597264,6.261369348594057,6.683471953371911,9.183859220903985,9.162712771767316,0.0,9.435242376305256,9.182331253354471,6.958908363540749,8.353695430077666,9.041973908338516,8.396079690913602,8.918384111516241,9.815874721982288,8.674907798617308
Peru,9.69110464724541,9.314864337823767,9.37429681775216,9.384899377979954,9.26681805417091,8.05004149155112,9.728713243482819,9.329840155399705,6.05538866078594,9.461967195900932,9.3468326269185,9.460202190174174,0.0,9.795979176320829,9.539444818684231,9.267222469866617,9.29426599291387,9.380038419824654,9.228398340985882,0.0,9.439073870383424,9.315015652914314,9.107271118260643,9.26317188270215,8.3580154972989,9.19670918808762,9.34693643868605,9.310931130406251,9.324648934189822,9.161314294981509,8.64340072997571,9.853583292992852,9.298256922505942,9.255772523374016,9.455287684237259,8.764576257565581,9.379344477189743,9.648957817836022,9.55100096801877,9.236798254828077,9.4638920734717,9.31598064849729,9.359989793466143,7.536520726112676,8.06200250677688,0.0,7.811423885937998,9.84298779792346,9.41680398332718,9.599131234295953,9.888975764035298,9.170559606022605,9.72114339548679,9.256818341272595,9.439805499953854
Australia,9.307094054882963,9.685403057588644,9.63034000690866,9.633882436259704,9.702737631713509,9.370235662741846,9.246079068400883,9.676069252488738,9.461967195900932,6.949680984189604,9.663522052287089,9.551820050407935,0.0,8.596125621421107,9.091525867038214,9.717908295193169,9.694756515177069,9.63085959612301,9.74108332234249,0.0,9.582772516593948,9.683615518967214,9.80200340294299,9.719819489609542,9.486885912816772,9.75588621222036,9.656651794308877,9.679903279118198,9.67833323097774,9.77516997290732,9.677963043991504,8.78449279549649,9.289888803669317,9.725241479664065,9.550998122813581,9.68800210296374,9.63258065344605,8.981968175087685,9.455971570144175,9.73732021096371,9.543343741887217,9.6854615094113,9.648310746295913,9.572347375187322,9.55185700705637,0.0,9.334905689209174,8.73514987415509,9.610001335243547,9.38954541080238,8.920590296011726,9.629390122910424,9.10701190142664,7.782176801531302,9.387453387840525
