,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,-inf,8.343998937716647,8.020559330865623,7.956380141683857,7.278120374857919,6.833954954223179,4.150134846061825,8.555344514918483,5.722399928997255,5.722399928997255,8.011918127784147,5.722399928997255,0.0,3.208772222949624,5.406288588743942,8.562736534762895,7.618594066132526,8.824109661090299,8.307594491803759,0.0,7.047655624040072,8.89339723502431,8.314084388764782,8.529972221901822,0.7149446305990459,8.473623937486439,8.85456728468532,8.703840057907074,7.346335516414749,7.852036177256929,8.223282833559757,7.374358133455423,5.156137727698677,8.462772188338112,5.722399928997255,8.384663060127957,8.088766857048734,8.52694516737065,4.586845831827571,8.374044740973147,5.099754188598783,8.452918879020462,6.154043501604221,5.446763248874595,6.32471656115926,0.0,5.124152484849277,8.794028364190261,6.463169356650627,7.685141270064856,6.922660155481559,5.722399928997255,6.9235067320282955,8.473628822543306,5.722399928997255
Slovenia,8.343998937716647,-inf,7.057891353913422,7.208709160314184,7.9217561847331135,8.094382730067565,8.358974119045177,6.89727147848934,8.414165227687214,8.414165227687214,7.080172283908383,8.414165227687214,0.0,8.349867401524548,8.289556572850815,6.935478076409522,7.682101324608014,7.859901819061484,5.0127875629697325,0.0,8.024440598422348,8.032311602088814,4.819668619727576,6.756274001627749,8.34351269916024,6.36640183541203,7.937890513463818,7.507216244942171,7.883961440455364,7.398729513711114,6.169934257557436,7.8672216548732194,8.301863556957036,6.273434228627593,8.414165227687214,5.161990808227942,6.853513706902532,6.7383032225724175,8.320371883025732,4.854027167217913,8.30422014208704,6.18181102417291,8.225303532782366,8.397706071638154,8.20157014214241,0.0,8.30321736559157,7.7789957518949455,8.178577479500337,7.615344597504064,8.067730638314833,8.414165227687214,8.067461106017934,6.3664420160557835,8.414165227687214
Greece,8.020559330865623,7.057891353913422,-inf,5.242565077180958,7.374387957953811,7.656347425601777,8.041194471568785,7.673949979221926,8.11627265657391,8.11627265657391,3.265028380270568,8.11627265657391,0.0,8.028659745338025,7.944519006089636,7.691703853668049,6.914910392992727,8.230379621706742,6.919356881379284,0.0,7.54577004674002,8.352517321158034,6.9451168920022655,7.611558641718632,8.019887348680475,7.46390932141326,8.28486685988399,8.00072810607049,7.308123772050961,6.156798681196102,6.52772057951857,7.278153212201826,7.961853261700889,7.433836596627735,8.11627265657391,7.197812437931664,5.369656565255158,7.603957574920858,7.987760383237407,7.162589888924793,7.965162596783078,7.406018206892894,7.852541082449564,8.094037983081606,7.817898858691231,0.0,7.963754790496599,8.17522836100115,7.783969218229122,6.765156050665305,7.614737475325773,8.11627265657391,7.614313464655374,7.463922729946069,8.11627265657391
Lithuania,7.956380141683857,7.208709160314184,5.242565077180958,-inf,7.248120558582553,7.5626121591405875,7.978368119691615,7.75821299462136,8.05812529503876,8.05812529503876,5.093589592817967,8.05812529503876,0.0,7.965015167837193,7.875089261167428,7.7745438175943,6.706894238294372,8.279548245543484,7.09076313272046,0.0,7.440478382543125,8.396154311797495,7.112509179622364,7.701010655888322,7.955663602240922,7.566883881708763,8.331487921436342,8.062207083163077,7.1725932881417656,5.644599284103392,6.771926800933008,7.138197056535924,7.893658291317891,7.53979401535873,8.05812529503876,7.3301814358254545,6.001275675203589,7.694062261212455,7.921368674982175,7.2993938299427255,7.897200766268968,7.51480765473544,7.776160659837953,8.034543588947692,7.738716671669411,0.0,7.895693882144673,8.227113745158944,7.701939154289338,6.519068865986418,7.516818238611633,8.05812529503876,7.5163505981899235,7.566895978223548,8.05812529503876
Tunisia,7.278120374857919,7.9217561847331135,7.374387957953811,7.248120558582553,-inf,6.252686097387775,7.320993979477217,8.228491632264447,7.4695976291442765,7.4695976291442765,7.357833398456951,7.4695976291442765,0.0,7.295064532383532,7.111071673593724,8.238726806435885,6.3757652390062,8.584454351556236,7.865681008048295,0.0,5.697442751008811,8.671708109072272,7.875759096079339,8.193135304133042,7.276707981548178,8.113297245229303,8.623003068875924,8.428961752125922,4.627333104036614,7.023492361770255,7.731252088219927,4.985691631495467,7.150521198758644,8.097701160393198,7.4695976291442765,7.983139690136508,7.500753146948349,8.188893307486314,7.207918404163846,7.967232957376673,7.157954836592292,8.08347531685138,6.885148449280983,7.4267093432972855,6.791293030165175,0.0,7.154796278983778,8.546068556089853,6.693538751829271,6.58963331294848,6.0713074617472955,7.4695976291442765,6.069321279585423,8.113304249405422,7.4695976291442765
Argentina,6.833954954223179,8.094382730067565,7.656347425601777,7.5626121591405875,6.252686097387775,-inf,6.900025178390673,8.358334613708514,7.118417013109746,7.118417013109746,7.643885717169754,7.118417013109746,0.0,6.860250406611209,6.559691733009312,8.367329071682214,7.009265214161205,8.677146430302942,8.047410609737689,0.0,5.399528415564453,8.756975872460202,8.05582101021462,8.327350947658912,6.831751896472571,8.257897481934599,8.712341910445263,8.536437019279758,6.4323726681186795,7.40373532078455,7.936609892346829,6.5008554276219295,6.627199835278535,8.244415349858407,7.118417013109746,8.14628183668398,7.753113020125961,8.323642728648993,6.722236087398939,8.132785774740487,6.639713142553813,8.232142719131957,6.127394508770778,7.056919101098223,5.915278642585832,0.0,6.634403992794747,8.642218847331097,5.662152734205354,7.128431933206262,4.45619863959889,7.118417013109746,4.466126669483255,8.257903543128501,7.118417013109746
India,4.150134846061825,8.358974119045177,8.041194471568785,7.978368119691615,7.320993979477217,6.900025178390673,-inf,8.567484076711626,5.4897431752491785,5.4897431752491785,8.032730502783844,5.4897431752491785,0.0,3.6556812670883,5.656850504624191,8.574787228054351,7.649283308906019,8.833401448842848,8.323120592733233,0.0,7.101347852555391,8.902069703992895,8.329510823870708,8.542421799028292,4.181845972181516,8.486790437348313,8.863581585576872,8.714313146257073,7.386437924991752,7.876413192264714,8.240163267591518,7.413373702864354,5.467788530834671,8.476081394032189,5.4897431752491785,8.399045774411032,8.108054486948102,8.539432252470199,5.085290012899642,8.38857987874039,5.426816769609657,8.466358990955257,6.280506390714293,5.127312230190741,6.432364574266298,0.0,5.444468535146976,8.803602553335447,6.557534088560133,7.713882815796707,6.983288507575194,5.4897431752491785,6.984085302364729,8.486795258507811,5.4897431752491785
Austria,8.555344514918483,6.89727147848934,7.673949979221926,7.75821299462136,8.228491632264447,8.358334613708514,8.567484076711626,-inf,8.61251786166103,8.61251786166103,7.686044834242883,8.61251786166103,0.0,8.56009765502938,8.511504845187826,3.651688541520974,8.057929786441054,7.378817714369765,7.038690687077713,0.0,8.305059550986114,7.644574581228452,7.015258979278193,4.868587664861293,8.554950925822407,6.010313028174917,7.502116781083044,6.723310571498022,8.200820199782102,7.872256280061992,7.291469293205397,8.188654163833085,8.521374251330789,6.12965036326591,8.61251786166103,6.703261035735327,7.568779096985103,4.979789338294534,8.536261803212469,6.758460411923732,8.523266819995763,6.225950537071224,8.460374272085035,8.599040082821531,8.441659526278926,0.0,8.522461384923904,7.244443653672406,8.423619045933936,8.012569900688096,8.337929108900537,8.61251786166103,8.337723400868798,6.010255658092023,8.61251786166103
Peru,5.722399928997255,8.414165227687214,8.11627265657391,8.05812529503876,7.4695976291442765,7.118417013109746,5.4897431752491785,8.61251786166103,-inf,-inf,8.10842328778202,-inf,0.0,5.637959111395716,6.26993057403625,8.619500540199981,7.758476819880993,8.868099987429504,8.380269892088947,0.0,7.283308607746336,8.934502448644443,8.386306234501742,8.588572518544694,5.729065564587827,8.535518022210818,8.89726573948129,8.753315452283704,7.526255343076182,7.964364835013569,8.302105619635883,7.549717345618604,6.171973283193277,8.52532090091762,-inf,8.452125519956658,8.178443896985526,8.585717999058396,6.000973700211012,8.442203358476029,6.151922037912787,8.516067797197652,6.654479831430636,4.29907357940889,6.761384241427405,0.0,6.160509238006959,8.839332098325675,6.8530110199123735,7.8165841909936224,7.185882392860829,-inf,7.186533110835,8.535522614079166,-inf
Australia,5.722399928997255,8.414165227687214,8.11627265657391,8.05812529503876,7.4695976291442765,7.118417013109746,5.4897431752491785,8.61251786166103,-inf,-inf,8.10842328778202,-inf,0.0,5.637959111395716,6.26993057403625,8.619500540199981,7.758476819880993,8.868099987429504,8.380269892088947,0.0,7.283308607746336,8.934502448644443,8.386306234501742,8.588572518544694,5.729065564587827,8.535518022210818,8.89726573948129,8.753315452283704,7.526255343076182,7.964364835013569,8.302105619635883,7.549717345618604,6.171973283193277,8.52532090091762,-inf,8.452125519956658,8.178443896985526,8.585717999058396,6.000973700211012,8.442203358476029,6.151922037912787,8.516067797197652,6.654479831430636,4.29907357940889,6.761384241427405,0.0,6.160509238006959,8.839332098325675,6.8530110199123735,7.8165841909936224,7.185882392860829,-inf,7.186533110835,8.535522614079166,-inf
