,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,-inf,0.6533260854935065,-0.08471050675013612,-0.2551755968646011,-0.8298961417250944,-1.0923671680919513,-0.7824107456404452,1.060168403092806,-2.379058563811902,0.5503810074493037,0.18406947912061739,-1.523058410869039,0.0,-5.058617707084526,-1.929367732436002,1.0851135995947836,0.16352225964370454,0.9907632440036767,0.8006890230934982,0.0,-0.08781728419107297,1.0073674720320527,0.1575111158037565,0.6817622874091555,-1.9406034763824886,0.05313457449044366,1.1294185633013805,0.5611799097731327,-0.30229438214066734,0.05479053919173211,1.0259557315735675,-0.02875138828793607,-0.7501387720802167,0.9469321808518739,1.5099562309624353,0.4166251274551312,0.2644265841159818,1.106006875199143,-3.2271537928999416,0.6980437303691759,-0.7393461530680315,1.0305263197492502,-1.661495245993679,-2.529802506226648,0.0024642063480945922,0.0,-1.9142847875026485,0.5782319862127544,-1.2530097549446388,-0.07341251588565641,-0.4388329399962145,-1.523058410869039,0.668156047416747,0.0956046891594598,-1.523058410869039
Slovenia,0.6533260854935065,-inf,0.0031395295156210895,0.13727385138142448,0.39597226867650187,0.46153104745213985,0.3815961283557928,-0.03569514368335996,0.7004010266884324,-1.6712645779782107,-0.32874944707527154,0.7607902620901659,0.0,0.6500143681554369,0.574747967667854,0.03715448381706812,-0.29534990192758354,-0.25959148537489796,-1.1869445547386535,0.0,0.005976577626669795,-0.20277740635334962,-0.2859117484005269,-2.8925143516116147,0.5756609080525222,-0.14231138419195874,0.15865572201178588,-1.7767723354793097,0.1678864028056869,-0.14432849497321723,-0.1417504942344907,-0.05101471319489486,0.3713026141141351,-0.42179780948653367,0.9572829438425986,-0.9036487248535258,-0.47926412437828664,0.0956222156615276,0.6737568661211358,-2.4316188892709754,0.36776096470141684,-0.12713158372963587,0.5493159554479589,0.610986529752415,-0.08397369288181239,0.0,0.5735048513630836,-1.9729993064915952,0.49242470347937134,-0.007321481756874168,0.24461866158364515,0.7607902620901659,-3.5503554602896807,-0.1965032257731671,0.7607902620901659
Greece,-0.08471050675013612,0.0031395295156210895,-inf,-1.9379573336906784,-0.7283938088595255,-0.5389564923901742,-0.7733252653965561,0.6770578781114213,0.011351304476717014,-0.2044011672498478,-1.261174342625143,0.12823684722261136,0.0,-0.0916506063193093,-0.25678019066846564,0.7134388073940072,-1.351416360059448,0.5735249478044927,0.26872604688720236,0.0,-5.860432775935741,0.5986191274647694,-1.3790584277442408,0.05692943879383015,-0.25468456539020284,-1.9966211961396234,0.7770649254924066,-0.18156848562324196,-1.7167014766295516,-1.9838324392845936,0.6264635459106306,-2.9397343572753734,-0.8063668990040525,0.5062217013607324,1.2830855405715986,-0.5140716179762623,-0.9573587045612258,0.7435968032565987,-0.042439474853233745,0.08713035149521572,-0.8179119717998647,0.6332709755160464,-0.31618671299705836,-0.17542125234801895,-2.4806475048366217,0.0,-0.2596377173775304,-0.14606069583849032,-0.45707249076363937,-4.5621865614742845,-1.2946646294999473,0.12823684722261136,0.03136192709073231,-1.7062474146607611,0.12823684722261136
Lithuania,-0.2551755968646011,0.13727385138142448,-1.9379573336906784,-inf,-1.0826822649367513,-0.8224386987400671,-1.1473461401731297,0.7476716658480408,-0.14223408169505397,-0.04172543479121245,-0.8502246967303548,-0.007201433186718211,0.0,-0.2634108819805716,-0.46276519086503315,0.7816138111542141,-0.9091385398854887,0.6515482634801695,0.3731446981825873,0.0,-1.957947859440088,0.6747806497034684,-0.9268125601758851,0.18446833581402639,-0.46019083973213204,-1.2737119649316364,0.8411691142169073,-0.022287615964571312,-3.333726003058699,-1.267484663328146,0.7006092757464689,-1.6251732510742791,-1.1957420005173358,0.5894568737708714,1.3222229924496125,-0.2983341381299154,-0.6388420707452876,0.8098120557522992,-0.2052413991204938,0.21110066842436537,-1.2128303837827807,0.706931756243072,-0.5362707065160367,-0.3636913831070757,-1.4797842434713353,0.0,-0.466277482361485,0.00807038962295001,-0.7151133745595275,-1.8679690522195906,-2.0402827689063594,-0.007201433186718211,0.16199697385262404,-1.122258967612831,-0.007201433186718211
Tunisia,-0.8298961417250944,0.39597226867650187,-0.7283938088595255,-1.0826822649367513,-inf,-2.295877419817816,-3.8533925588934728,0.8963992120511517,-0.637272977076355,0.26068512473186184,-0.26656688863426187,-0.42443606311963367,0.0,-0.8445743481824792,-1.2349318755533267,0.92571872950339,-0.2990032585911754,0.8141227807766315,0.5827631403270306,0.0,-0.7343158184874181,0.8339034427830665,-0.30856638071393994,0.4326033540393504,-1.2293681469398892,-0.48049531015440716,0.9774846105508012,0.2750866665624445,-1.1939370876792945,-0.4776733537317007,0.8559740586616812,-0.6244359572654558,-3.318518551614349,0.7615974544007482,1.4086520772769624,0.07764526163351715,-0.14319022532740486,0.9501785604423417,-0.7428316140690361,0.453443856819888,-3.1861327531380255,0.8613892106057356,-1.4014498759489011,-1.031645967648116,-0.5685029916510639,0.0,-1.2425496647968473,0.29772316948260447,-1.894119211712561,-0.7069969311176679,-1.566886631591695,-0.42443606311963367,0.4151134422097879,-0.40912765906700577,-0.42443606311963367
Argentina,-1.0923671680919513,0.46153104745213985,-0.5389564923901742,-0.8224386987400671,-2.295877419817816,-inf,-2.1047126799839417,0.9366561615516731,-0.8484935345874552,0.33539449320721937,-0.14308801256914574,-0.5915557654459278,0.0,-1.1114932420937147,-1.659776115697997,0.9648349515159969,-0.17170212508622212,0.8577577237828529,0.6374512360842773,0.0,-0.5438540015965206,0.8767017664443264,-0.18011732869062286,0.4958771205438262,-1.6512796975974524,-0.3296853199322389,1.014663686047502,0.3487662129086458,-0.9070859883080631,-0.327257927060324,0.8978574357759324,-0.4521850142912703,-1.9886546529129345,0.8075323482178847,1.4329658811183268,0.16671053050134654,-0.033285643455060986,0.9883674299296588,-0.980584477638329,0.5154522410472375,-1.951897073978638,0.9030510427088019,-1.9271211117385345,-1.3635673864476432,-0.4048967331638097,0.0,-1.6714500116648066,0.369811626837556,-3.0001867801533826,-0.5212196550396333,-1.1732272146858451,-0.5915557654459278,0.4794684251666851,-0.26800696439694516,-0.5915557654459278
India,-0.7824107456404452,0.3815961283557928,-0.7733252653965561,-1.1473461401731297,-3.8533925588934728,-2.1047126799839417,-inf,0.8877080562100126,-0.5979461139809792,0.24420913290462481,-0.29464344803223586,-0.3925297714743895,0.0,-0.796403456129077,-1.1645526174791112,0.9172797574271035,-0.32801900824315566,0.8046827784425352,0.5708510999187387,0.0,-0.7795202725695076,0.8246491934481646,-0.337865066959202,0.41874789796847206,-1.1593660195687636,-0.515387158430833,0.9694730850061735,0.2588481771941689,-1.2664930719524352,-0.5124651470500746,0.8469227358939506,-0.664840116755986,-4.199787481274994,0.7516458184260986,1.4034538970548875,0.05782687176105121,-0.1679672269052169,0.9419443420705705,-0.6992206065301692,0.43987611481181454,-3.905855314795961,0.8523869903413734,-1.3188325394918443,-0.9738470507501665,-0.6066667723426216,0.0,-1.171650861909656,0.2818510334392262,-1.7622484856055307,-0.7509559875067028,-1.6740497855951986,-0.3925297714743895,0.40101179213324895,-0.44157670461759513,-0.3925297714743895
Austria,1.060168403092806,-0.03569514368335996,0.6770578781114213,0.7476716658480408,0.8963992120511517,0.9366561615516731,0.8877080562100126,-inf,1.0917537737323522,0.1423183051372697,0.5216217926388858,1.132981863670452,0.0,1.057964850786958,1.0085479302515357,-2.6184070714635537,0.5360286631396155,-1.642127548775925,-0.4158455014549514,0.0,0.6785049483720742,-1.907342355738574,0.5401494473342477,-0.09486273842115235,1.0091396488910398,0.605564122009729,-1.57503652919503,0.1258550350120714,0.7644145690375027,0.6046097870719193,-2.3320483532998653,0.6498215879852048,0.8815154598573759,-1.1741946766234164,0.4944983954365308,0.31482775940322916,0.46006270786079817,-1.9994563519681163,1.0738165160235895,-0.1312026901580399,0.8793906727511454,-2.4731762210812316,0.9921408658109446,1.0321812578632836,0.6336040862754581,0.0,1.0077425150851314,0.09891605626515397,0.9559779977132656,0.6717394975507265,0.8073989285527612,1.132981863670452,-0.06590480447771865,0.5802769239184625,1.132981863670452
Peru,-2.379058563811902,0.7004010266884324,0.011351304476717014,-0.14223408169505397,-0.637272977076355,-0.8484935345874552,-0.5979461139809792,1.0917537737323522,-inf,0.6024296396760288,0.2583076552352729,-2.0761968194890312,0.0,-2.31271537143681,-1.4359983969428463,1.1159326802483405,0.23924468397468646,1.0245806991356226,0.8414433224040316,0.0,0.008529485296354299,1.0406372113316396,0.23367313535794942,0.7275472005130033,-1.4428435361129317,0.13733230013996192,1.1589215176946435,0.6126836490191314,-0.18421350780510282,0.13885464655893412,1.0586226552780844,0.06231331188231,-0.5710379519412974,0.9822384124300604,1.5302151255502932,0.47590588660500416,0.33312487688705406,1.1361982467859248,-2.938076742186327,0.7431056448580734,-0.5620071244026955,1.0630466732059616,-1.26410279245212,-1.7584455727878934,0.09085024360330472,0.0,-1.4267622516756886,0.6288866095906469,-0.9721165642893732,0.0216197821325641,-0.3045892120413093,-2.0761968194890312,0.7145538486357621,0.1764390864410305,-2.0761968194890312
Australia,0.5503810074493037,-1.6712645779782107,-0.2044011672498478,-0.04172543479121245,0.26068512473186184,0.33539449320721937,0.24420913290462481,0.1423183051372697,0.6024296396760288,-inf,-0.6314611269674615,0.6688327275082415,0.0,0.5467095388802566,0.46289940766592613,0.20364468032741087,-0.5865159500023799,-0.041472415373045635,-0.7069188157052231,0.0,-0.20091090097585235,0.0044591661244508815,-0.5739078617987279,-1.4128608951047337,0.46392033346520145,-0.3866306375598129,0.3074432055047334,-3.9725254690811895,-0.005220526264879178,-0.38920670710959887,0.0543432154961546,-0.2714734435500216,0.2323906805236008,-0.16974995279785768,1.0269799160466175,-1.52749053210938,-0.8411142821744958,0.25336423621066745,0.5730022306538487,-1.287703789507151,0.228320168680626,0.06637460294476392,0.4344144288607139,0.5033409465211218,-0.3127314979923225,0.0,0.46150907433013977,-3.0165483526189765,0.3703695625260609,-0.2172905983100917,0.08537465554153874,0.6688327275082415,-1.5291324977326164,-0.4563539821793733,0.6688327275082415
