,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,0,0,1.098612289,1.098612289,0.693147181,1.098612289,3.091042453,2.995732274,0.693147181,5.393627546,0.693147181,2.079441542,3.80666249,0.693147181,1.098612289,3.931825633,3.988984047,3.912023005,6.047372179,0.693147181,0,2.772588722,3.36729583,5.313205979,2.48490665,3.044522438,3.80666249,3.663561646,0.693147181,5.272999559,7.822044008,2.397895273,3.17805383,4.317488114,3.135494216,6.033086222,1.098612289,1.791759469,0,4.584967479,1.098612289,4.532599493,0.693147181,0.693147181,2.302585093,0,0,2.397895273,0,0,0,0.693147181,5.153291594,3.555348061,0
Slovenia,0,0,1.098612289,1.098612289,0.693147181,1.098612289,3.091042453,2.995732274,0.693147181,5.393627546,0.693147181,2.079441542,3.80666249,0.693147181,1.098612289,3.931825633,3.988984047,3.912023005,6.047372179,0.693147181,0,2.772588722,3.36729583,5.313205979,2.48490665,3.044522438,3.80666249,3.663561646,0.693147181,5.272999559,7.822044008,2.397895273,3.17805383,4.317488114,3.135494216,6.033086222,1.098612289,1.791759469,0,4.584967479,1.098612289,4.532599493,0.693147181,0.693147181,2.302585093,0,0,2.397895273,0,0,0,0.693147181,5.153291594,3.555348061,0
Greece,1.098612289,1.098612289,0,1.791759469,1.609437912,1.791759469,2.944438979,2.833213344,1.609437912,5.379897354,1.609437912,1.609437912,3.737669618,1.609437912,1.791759469,3.871201011,3.931825633,3.850147602,6.040254711,1.609437912,0,2.564949357,3.258096538,5.298317367,2.197224577,2.890371758,3.737669618,3.583518938,1.609437912,5.257495372,7.82084088,2.079441542,3.044522438,4.276666119,2.995732274,6.025865974,0,1.098612289,1.386294361,4.553876892,1.791759469,4.49980967,1.609437912,1.609437912,1.945910149,1.098612289,0.693147181,2.079441542,0,0,1.386294361,1.609437912,5.135798437,3.465735903,1.386294361
Lithuania,1.098612289,1.098612289,1.791759469,0,0,0,3.218875825,3.135494216,0,5.407171771,0,2.397895273,3.871201011,0,0,3.988984047,4.043051268,3.970291914,6.054439346,0,0,2.944438979,3.465735903,5.327876169,2.708050201,3.17805383,3.871201011,3.737669618,0,5.288267031,7.823245691,2.63905733,3.295836866,4.356708827,3.258096538,6.040254711,1.791759469,2.197224577,0.693147181,4.615120517,0,4.564348191,0,0,2.564949357,1.098612289,1.386294361,2.63905733,0,0,0.693147181,0,5.170483995,3.63758616,0.693147181
Tunisia,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Argentina,1.098612289,1.098612289,1.791759469,0,0,0,3.218875825,3.135494216,0,5.407171771,0,2.397895273,3.871201011,0,0,3.988984047,4.043051268,3.970291914,6.054439346,0,0,2.944438979,3.465735903,5.327876169,2.708050201,3.17805383,3.871201011,3.737669618,0,5.288267031,7.823245691,2.63905733,3.295836866,4.356708827,3.258096538,6.040254711,1.791759469,2.197224577,0.693147181,4.615120517,0,4.564348191,0,0,2.564949357,1.098612289,1.386294361,2.63905733,0,0,0.693147181,0,5.170483995,3.63758616,0.693147181
India,3.091042453,3.091042453,2.944438979,3.218875825,3.17805383,3.218875825,0,0.693147181,3.17805383,5.288267031,3.17805383,2.63905733,3.135494216,3.17805383,3.218875825,3.36729583,3.465735903,3.33220451,5.993961427,3.17805383,0,1.791759469,1.945910149,5.198497031,2.302585093,0,3.135494216,2.833213344,3.17805383,5.153291594,7.813187268,2.397895273,0.693147181,3.970291914,0,5.978885765,2.944438979,2.772588722,3.135494216,4.33073334,3.218875825,4.262679877,3.17805383,3.17805383,2.48490665,3.091042453,3.044522438,2.397895273,0,0,3.135494216,3.17805383,5.017279837,2.564949357,3.135494216
Austria,2.995732274,2.995732274,2.833213344,3.135494216,3.091042453,3.135494216,0.693147181,0,3.091042453,5.298317367,3.091042453,2.48490665,3.218875825,3.091042453,3.135494216,3.433987204,3.526360525,3.401197382,5.998936562,3.091042453,0,1.386294361,2.197224577,5.209486153,2.079441542,0,3.218875825,2.944438979,3.091042453,5.164785974,7.813995675,2.197224577,1.386294361,4.007333185,1.098612289,5.983936281,2.833213344,2.63905733,3.044522438,4.356708827,3.135494216,4.290459441,3.091042453,3.091042453,2.302585093,2.995732274,2.944438979,2.197224577,0,0,3.044522438,3.091042453,5.030437921,2.708050201,3.044522438
Peru,0.693147181,0.693147181,1.609437912,0,0,0,3.17805383,3.091042453,0,5.402677382,0,2.302585093,3.850147602,0,0,3.970291914,4.025351691,3.951243719,6.052089169,0,0,2.890371758,3.433987204,5.323009979,2.63905733,3.135494216,3.850147602,3.713572067,0,5.283203729,7.82284529,2.564949357,3.258096538,4.343805422,3.218875825,6.03787092,1.609437912,2.079441542,0,4.605170186,0,4.553876892,0,0,2.48490665,0.693147181,1.098612289,2.564949357,0,0,0,0,5.164785974,3.610917913,0
Australia,5.393627546,5.393627546,5.379897354,5.407171771,5.402677382,5.407171771,5.288267031,5.298317367,5.402677382,0,5.402677382,5.356586275,5.164785974,5.402677382,5.407171771,5.129898715,5.111987788,5.135798437,5.313205979,5.402677382,0,5.318119994,5.252273428,2.833213344,5.33753808,5.293304825,5.164785974,5.198497031,5.402677382,3.218875825,7.729735331,5.342334252,5.278114659,4.976733742,5.283203729,5.283203729,5.379897354,5.365976015,5.398162702,4.804021045,5.407171771,4.844187086,5.402677382,5.402677382,5.347107531,5.393627546,5.38907173,5.342334252,0,0,5.398162702,5.402677382,3.850147602,5.220355825,5.398162702
