,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,0.0,0.01818181818181818,0.0,0.018867924528301886,0.0,0.0,0.0,0.017543859649122806,0.0,0.01639344262295082,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.017543859649122806,0.01818181818181818,0.015873015873015872,0.018867924528301886,0.029411764705882353,0.01818181818181818,0.018867924528301886,0.016129032258064516,0.018867924528301886,0.0,0.0,0.0,0.018867924528301886,0.01639344262295082,0.013888888888888888,0.018518518518518517,0.0,0.0,0.018518518518518517,0.015625,0.018518518518518517,0.0,0.0,0.017241379310344827,0.0,0.016666666666666666,0.0,0.018518518518518517,0.017543859649122806,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.01639344262295082,0.017543859649122806,0.0
Slovenia,0.01818181818181818,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.017543859649122806,0.0,0.01639344262295082,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.017543859649122806,0.01818181818181818,0.015873015873015872,0.018867924528301886,0.0,0.01818181818181818,0.018867924528301886,0.016129032258064516,0.018867924528301886,0.029411764705882353,0.0,0.0,0.018867924528301886,0.01639344262295082,0.013888888888888888,0.018518518518518517,0.0,0.0,0.018518518518518517,0.015625,0.018518518518518517,0.0,0.0,0.017241379310344827,0.0,0.016666666666666666,0.0,0.018518518518518517,0.017543859649122806,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.01639344262295082,0.017543859649122806,0.0
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0
Lithuania,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.01694915254237288,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.01818181818181818,0.018867924528301886,0.0,0.0196078431372549,0.0,0.018867924528301886,0.0196078431372549,0.016666666666666666,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.01694915254237288,0.014285714285714285,0.019230769230769232,0.0,0.0,0.019230769230769232,0.016129032258064516,0.019230769230769232,0.0,0.0,0.017857142857142856,0.0,0.017241379310344827,0.0,0.019230769230769232,0.01818181818181818,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.01694915254237288,0.01818181818181818,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,0.017543859649122806,0.017543859649122806,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.03225806451612903,0.0,0.016666666666666666,0.0,0.0,0.0,0.01694915254237288,0.017543859649122806,0.015384615384615385,0.01818181818181818,0.027777777777777776,0.017543859649122806,0.01818181818181818,0.015625,0.01818181818181818,0.0,0.02564102564102564,0.0,0.01818181818181818,0.015873015873015872,0.013513513513513514,0.017857142857142856,0.0,0.0,0.017857142857142856,0.015151515151515152,0.017857142857142856,0.0,0.0,0.016666666666666666,0.0,0.016129032258064516,0.0,0.017857142857142856,0.01694915254237288,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.015873015873015872,0.01694915254237288,0.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.01639344262295082,0.01639344262295082,0.0,0.01694915254237288,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.02857142857142857,0.015625,0.0,0.0,0.0,0.015873015873015872,0.01639344262295082,0.014492753623188406,0.01694915254237288,0.0,0.01639344262295082,0.01694915254237288,0.014705882352941176,0.01694915254237288,0.0,0.023255813953488372,0.022727272727272728,0.01694915254237288,0.014925373134328358,0.01282051282051282,0.016666666666666666,0.02564102564102564,0.0,0.016666666666666666,0.014285714285714285,0.016666666666666666,0.024390243902439025,0.0,0.015625,0.0,0.015151515151515152,0.0,0.016666666666666666,0.015873015873015872,0.0,0.0,0.016666666666666666,0.0,0.02564102564102564,0.027777777777777776,0.0,0.014925373134328358,0.015873015873015872,0.0
