,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Pakistan,,3.0,27.0,17.0,,,11.0,171.0,,3762.0,22.0,,,,5.0,49.0,832.0,603.0,,,,98.0,15.0,149.0,,75.0,1854.0,338.0,,99.0,,2132.0,60.0,91.0,,843.0,9.0,,,567.0,28.0,,,,4.0,,,,207.0,3080.0,78.0,,,286.0,
Slovenia,3.0,,6.0,,3.0,6.0,15.0,24.0,,1.0,9.0,1.0,,1.0,,,259.0,4.0,,,,4.0,82.0,112.0,5.0,2.0,4.0,1.0,780.0,35.0,,1.0,1.0,6.0,,6.0,1.0,1.0,1.0,12.0,,23.0,437.0,1.0,19.0,2.0,,,,1.0,2.0,1.0,21.0,,
Greece,27.0,6.0,,4.0,9.0,8.0,,26.0,12.0,77.0,177.0,85.0,,,,510.0,3318.0,26.0,,,,11.0,122.0,1475.0,4.0,62.0,347.0,62.0,,220.0,,,37.0,297.0,8.0,32.0,8.0,21.0,2.0,1999.0,290.0,364.0,11.0,12.0,18.0,160.0,12.0,,,26.0,2.0,221.0,40.0,9.0,41.0
Lithuania,17.0,,4.0,,,1.0,37.0,1.0,3.0,21.0,,41.0,,1.0,,77.0,17.0,6.0,,,,1.0,6.0,496.0,1.0,51.0,39.0,214.0,,48.0,,3.0,,2.0,93.0,3.0,8.0,1.0,1.0,14.0,1.0,17.0,,1.0,2.0,,1.0,,,15.0,1.0,49.0,13.0,,
Tunisia,,3.0,9.0,,,,1.0,38.0,,4.0,,,,,1.0,369.0,807.0,3.0,,,,2.0,4.0,6.0,,2.0,10.0,6.0,,45.0,,36.0,23.0,36.0,1.0,777.0,1.0,,,11134.0,44.0,,,,1.0,,1.0,,473.0,114.0,3.0,,,1.0,
Argentina,,6.0,8.0,1.0,,,,24.0,,107.0,2.0,,,,,159.0,381.0,18.0,,,,12.0,36.0,30.0,,1.0,19.0,31.0,,2109.0,,,4.0,28.0,13.0,114.0,,,,739.0,,,,,776.0,,117.0,,,7.0,3.0,,,23.0,
India,11.0,15.0,,37.0,1.0,,,313.0,1.0,11684.0,2.0,,,80.0,305.0,643.0,942.0,3.0,,,,198.0,51.0,805.0,5.0,352.0,1551.0,299.0,,226.0,,1726.0,109.0,553.0,,243.0,2.0,40.0,244.0,66.0,31.0,18.0,,4.0,4.0,14.0,3.0,98.0,2516.0,7310.0,282.0,326.0,682.0,7248.0,491.0
Austria,171.0,24.0,26.0,1.0,38.0,24.0,313.0,,75.0,222.0,124.0,16.0,,65.0,3.0,1165.0,174.0,63.0,,,,36.0,86.0,337.0,108.0,38.0,115.0,58.0,914.0,155.0,,7.0,13.0,91.0,88.0,53.0,2.0,163.0,,319.0,21.0,25096.0,3.0,108.0,139.0,171.0,33.0,8.0,,16.0,32.0,93.0,688.0,52.0,62.0
Peru,,,12.0,3.0,,,1.0,75.0,,272.0,1.0,,,,1.0,192.0,1963.0,34.0,,,,7.0,17.0,85.0,,3.0,31.0,40.0,,3338.0,,1.0,7.0,69.0,4.0,204.0,1.0,,,1025.0,,,,,615.0,,1046.0,,,7.0,3.0,,,5.0,
Australia,3762.0,1.0,77.0,21.0,4.0,107.0,11684.0,222.0,272.0,,64.0,271.0,,9431.0,1180.0,122.0,462.0,109.0,,,,182.0,8.0,59.0,592.0,61.0,77.0,52.0,30.0,198.0,,17001.0,787.0,95.0,128.0,3837.0,24.0,1855.0,494.0,1161.0,227.0,1497.0,36.0,1245.0,775.0,189.0,557.0,9379.0,,147.0,3282.0,398.0,87497.0,2624.0,1191.0
