,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,4.960947026752875,9.34232869968816,0.0,8.935338629908404,9.79192506658038,9.624087092668647,7.259776008850066,7.860741229940075,9.193352084707325,8.94268521539151,9.066639848563533,8.762441815403006,9.122859066405594,9.654454876220983,9.066689723374303,8.35300204100668,9.072118567978803,8.86828137845024,9.410211202176843,8.629895430546801,7.606296883439385,9.067347560961313,8.079692066302076,8.864880588076918,9.12564376837573,8.789396737159088,0.0,8.988683215429734,0.0,8.768313867595085,8.200716779113732,8.635651021569817,9.029245382640713,8.120823296176802,9.711498011025583,8.595497404167439,8.952138393166887,0.0,8.234128177261367,9.695004755245584,8.149279326748898,8.976741099620696,8.274846433117592,8.939203470202163,7.96825474722378,8.939596304830262,9.808113120667684,8.841007221338394,8.621265778049423,0.0,,8.39150615125205,8.819815648420587,8.590630996200822,8.747276606076097,8.81258908569734,9.107531819510793,9.728443450712403,8.864667256792263,8.897205644841867,9.096021852945373,8.610591544844606,8.01837452806485,7.338641189770455,8.497718382381779,0.0,0.0,8.878870243924087,9.468603159953362
New Zealand,9.34232869968816,5.272800564406748,0.0,9.852544196912865,9.120240156706256,9.324327768856502,9.454152058279648,9.097015894660325,9.661140157119295,9.845170703262994,9.882579494476435,9.76207432253569,9.869692891699142,9.398509796611739,9.352715418956837,9.622705619274527,9.631934046013898,9.811757058006522,9.592673998294925,9.718025670076944,9.503781330167586,9.77487376294289,9.537864118591198,9.82435180844675,9.846093052006381,9.793346740557162,0.0,9.859908636196893,0.0,9.771287273586575,9.565911907383562,9.734022199464127,9.853445054523915,9.050030882220758,9.3905505346789,9.703343718258246,9.852816695972905,0.0,8.96172848852898,9.36537209214482,9.58234176357934,9.865987118853266,9.585562056876674,9.825071313112373,9.061192822261512,9.851595131339527,9.256818341272595,9.815874721982288,9.72761455899322,0.0,,9.608446468860498,9.783497771306786,9.694314704881494,9.773851420666187,9.80523559995819,7.782176801531302,9.182877906883675,9.819380680657481,9.82941842578176,9.677088708501246,9.700478681225633,9.309373612580632,9.197524397084399,9.166987260212926,0.0,0.0,9.797668042667684,9.562392045049268
Bosnia And Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,8.935338629908404,9.852544196912865,0.0,4.336333550846142,9.381453515196009,9.17372462295577,8.74017881025977,9.218863942917059,8.448122388321268,6.442579974593042,7.05022398953545,7.527987621474564,7.394477126759452,9.093387816375754,9.030610533776281,8.292888966781275,8.479098516044385,6.94071411977885,8.714286440897004,7.833303824747209,8.630028183448196,7.869917252446446,8.557897803047391,6.309868458803732,7.534905809183942,7.038776523820059,0.0,6.618353996201488,0.0,7.41616859547315,8.482754322997973,7.68966397081954,7.093369741539385,9.261354727463896,9.112802953716669,7.925225839608339,6.18919900422016,0.0,9.325692900786775,9.139906748819094,8.421637341437465,6.077820667797418,8.424962106330629,7.046769985724536,9.249481274252354,5.736158018128964,9.267222469866617,6.529254591197772,7.739096651900014,0.0,,8.357940920574542,7.34375476508297,7.985478230098309,7.324488660956101,6.779193687839232,9.717908295193169,9.324963754515188,6.627121508786773,6.540538103337198,8.34375462379169,7.954208986729555,8.997674735090726,9.119762278171343,9.177878542024315,0.0,0.0,7.2857662817528634,8.795306933043548
Chile,9.79192506658038,9.120240156706256,0.0,9.381453515196009,5.790692929886735,8.798050477906513,9.737228697048954,9.714873439069148,9.056135607353035,9.39492270462281,9.27941017383725,9.51055310672708,9.234255121133613,8.012331746523584,9.129881661118652,9.566220900450492,9.162325277362726,9.444984734695442,9.08233118955792,9.490295165762223,9.722854369636483,9.3650080609883,9.616260709784916,9.416418330894498,9.214563442249055,9.47289461839596,0.0,9.366097189844336,0.0,9.439327615612646,9.592523205832489,9.501764434442292,9.348514097280301,9.777176317443157,8.359238652749115,9.49991340543374,9.38470871900906,0.0,9.655941159144016,8.525846047249244,9.705584634353306,9.364210155212831,9.576627272694349,9.347052450850885,9.705206721294411,9.38767451225909,7.811423885937998,9.435242376305256,9.557703091428568,0.0,,9.54378230758379,9.480706383062715,9.496525574677214,9.500051883722248,9.44699464111033,9.334905689209174,7.028482420945723,9.436886926501334,9.386305938860547,9.156064001057866,9.489349190265113,9.856389655674324,9.779017835773267,9.755415526865983,0.0,0.0,9.453077901369857,8.997256675220171
Mexico,9.624087092668647,9.324327768856502,0.0,9.17372462295577,8.798050477906513,6.268233411539125,9.59380932877244,9.719632019802447,9.281850472581862,9.130145202680964,9.113163060165247,9.196296314245638,9.069182946367059,8.830801018265433,9.589821467328948,9.515180401193339,9.39492436752439,9.161446617441454,8.191253611113307,9.405895642295986,9.551761769841004,8.917336832266365,9.593721412280784,9.22673720613753,9.108082150335324,9.229263200598279,0.0,9.098112328740411,0.0,9.332078243615786,9.573061500845315,9.372887701070685,9.045998723511474,9.56321590729437,8.035589419926643,9.425560616634856,9.133389454788807,0.0,9.732904429955545,7.566860035875442,9.402976879610005,9.127699032448369,9.556559948552275,9.244143552146879,9.718578049897236,9.151795585801358,8.3580154972989,9.226559133911554,9.281385802189162,0.0,,9.53933327944623,9.16928032829114,9.43972043575617,9.23558405221308,9.247178441194128,9.486885912816772,8.90891779636749,9.18391723539253,9.235507993683079,9.337733086410998,9.432510649813382,9.430854068251042,9.665296985558047,9.333653864203999,0.0,0.0,9.127757791554894,8.018927033003871
India,7.259776008850066,9.454152058279648,0.0,8.74017881025977,9.737228697048954,9.59380932877244,6.525002678007369,8.253860257940373,9.047598947139921,8.7583214048033,8.893167145661321,8.560414353630696,8.959628019554083,9.564620951711383,8.987290691255991,7.951023976610971,8.915186589018989,8.67461685205059,9.336961569099461,8.336907001856353,6.52703629422774,8.935959314191932,7.5684939306839745,8.651541025661578,8.959640483398495,8.569753952228753,0.0,8.812938071895985,0.0,8.519976115488404,7.746244888951106,8.348268613015335,8.865654556075313,8.467314685217415,9.634990923497678,8.290380165808621,8.767110933674044,0.0,8.516838928672602,9.634935332098372,7.846108044554707,8.793950303217493,7.851985638864787,8.734526616589418,8.331835189284602,8.749610250531152,9.728713243482819,8.62534708196712,8.376062943337654,0.0,,8.023930106120517,8.625908035020586,8.284354291738062,8.524561776588657,8.588544266819998,9.246079068400883,9.668898753537176,8.663121646925164,8.686466995294264,8.933966519909331,8.311260922566408,8.238804600475955,7.979238205261753,8.673805410596726,0.0,0.0,8.698126952333483,9.397633715596541
Malaysia,7.860741229940075,9.097015894660325,0.0,9.218863942917059,9.714873439069148,9.719632019802447,8.253860257940373,5.375227017474822,9.33292873243259,9.230290047283804,9.313317449500627,9.1028266509457,9.357120239700713,9.706285224217682,9.050591132754473,8.758292646273663,9.211724413748344,9.177151979734953,9.590406985084265,8.968807901109935,8.41404866308829,9.328122518743282,8.54841216820314,9.164262925059973,9.351343283161368,9.116938729754805,0.0,9.264818140539331,0.0,9.076568378981142,8.629628084552852,8.986933285939749,9.297628460677595,7.812322761311154,9.85731952256606,8.940370377130467,9.236127020037786,0.0,7.068338937049594,9.82228563156774,8.706779131900332,9.25305497438372,8.682527783213892,9.204311333795726,5.754295915036647,9.22529006634824,9.853583292992852,9.149625889872434,9.003372043541145,0.0,,8.755810799581749,9.143649776787552,8.929844285040433,9.089253509689998,9.127767023263335,8.78449279549649,9.678508567844142,9.172011620906423,9.181727088590769,9.25513590153933,8.944428532298371,8.37909068142125,7.0792880118191475,8.580936709122309,0.0,0.0,9.186884521779817,9.639348814621448
Ghana,9.193352084707325,9.661140157119295,0.0,8.448122388321268,9.056135607353035,9.281850472581862,9.047598947139921,9.33292873243259,5.213311613313433,8.562212062715732,8.267724401753211,8.770047455763061,8.242866076535936,8.659052064130208,8.443610373652499,8.650026140185627,7.184474478132619,8.647099421070488,9.041122466121394,8.469165926165408,9.004213708641826,8.817270968692236,8.795412482643213,8.46136140310174,8.084103308628947,8.62184667718733,0.0,8.539776850018333,0.0,8.378115245062457,8.731627406325035,8.528975308869986,8.584146170403148,9.485806887386095,9.022699452424607,8.486432495189396,8.528754896575544,0.0,9.389133210159347,9.130729254487536,9.019941803770001,8.482040926890733,8.687438455767957,8.20010318000914,9.355660750625654,8.505017770886091,9.073389195694373,8.517970888931115,8.782209934948753,0.0,,8.602445321838688,8.730272346172034,8.470533146930144,8.687707314007577,8.520983399494177,9.646849909626551,8.930682684524683,8.589904846315454,8.35151681182691,6.81686380231406,8.452171993809118,9.378531732772542,9.30789711727053,9.534650376149665,0.0,0.0,8.719741958560842,9.045756724178531
Netherlands,8.94268521539151,9.845170703262994,0.0,6.442579974593042,9.39492270462281,9.130145202680964,8.7583214048033,9.230290047283804,8.562212062715732,4.343248773447209,7.300719914053485,7.316895625121598,7.529429551018268,9.11835950385806,9.102968167562029,8.376828907669932,8.600153239511,6.434504944889563,8.637392860216641,7.98923497264326,8.646757048771438,7.612156395777956,8.615994905079555,6.89418136888833,7.715980952328367,6.997229370998203,0.0,5.886978648860817,0.0,7.679210740890574,8.55078578870376,7.8383488360466105,6.629002422163375,9.249492813568246,9.096875549402922,8.06645934164614,5.153484061523946,0.0,9.337998048052528,9.112611659878993,8.394297835089219,6.058929017852017,8.500588696638117,7.4823672035388995,9.260100541728525,5.763147951140589,9.26317188270215,6.840314202837746,7.675652261393336,0.0,,8.448844112650272,7.0290255604559935,8.124490101226245,7.223079025897667,7.0439465061085205,9.719819489609542,9.347206822108832,6.35932626016525,7.168344892765122,8.478284989426255,8.100550445621892,8.965863499952142,9.12534496155973,9.13813273150943,0.0,0.0,6.820187201609055,8.731796538780843
