,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,-inf,8.145068202109808,0.0,8.231064447391626,5.8381716979054685,5.861420175182559,4.982382452170524,6.960822078629115,3.2957220297812726,8.079585824720098,7.887448196233865,8.938113866671284,8.026869999372586,6.38872188443291,5.917742490363944,5.078417345547511,-inf,8.693055250502972,8.405795603699481,6.8911616802756015,4.828548313787086,8.90083937131505,5.129915463303528,8.07036470539127,6.592371876177964,7.3841440050417075,0.0,8.3012081971331,0.0,7.545249959186206,-inf,6.607713636480409,8.067634094460406,4.37234182645146,-inf,-inf,8.154518252309618,0.0,4.490356817564351,5.562456984143133,6.01776683177354,8.204191394533886,6.47530565393242,7.2044408569617,8.668744468979988,8.463286647781063,-inf,8.290396409423476,8.0690141865188,0.0,6.844962524733068,-inf,8.599091721032627,-inf,7.803370401125806,7.534302576857907,8.377524308700893,6.882696007523117,8.220507412576938,7.357887394146553,3.6585583528137793,-inf,6.828085558323628,5.8700338220581605,8.552966553700893,0.0,0.0,8.539531414899098,8.198797395519426
New Zealand,8.145068202109808,-inf,0.0,5.734922802325881,8.04018558673051,8.037581259482712,8.101835022783128,7.7798183682777875,8.13720386145642,5.386531451244712,6.6627523823014085,8.335785633438078,5.951158770886631,7.955510998024904,8.030984889894176,8.09737170873229,8.145068202109808,7.830039012891598,6.933982893342062,7.809053020915205,8.108114894947686,8.266624469855522,8.09478666429579,5.513720590671006,7.907221518871607,7.515394455557105,0.0,6.36715154391146,0.0,7.34897670551109,8.145068202109808,7.903061628126863,5.548273042698771,8.121810526697361,8.145068202109808,8.145068202109808,3.4880617228425455,0.0,8.118858753051493,8.066483331612638,8.018190709044985,5.346643437328503,7.936453875373646,7.650144054182397,7.771425273279435,7.1633759650117,8.145068202109808,6.289851567226941,5.530970731900149,0.0,7.826922806548671,8.145068202109808,7.591048033284921,8.145068202109808,6.905250912673029,7.362138480854171,6.804492875191902,7.812413949704308,5.59859681778376,7.53786735863508,8.13374445584641,8.145068202109808,7.833171901754197,8.036599110573679,7.4592030616865825,0.0,0.0,7.418545413518393,5.248254294074468
Bosnia And Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,8.231064447391626,5.734922802325881,0.0,-inf,8.13525263610897,8.132884770040096,8.191465302681733,7.901499310442976,8.223850490032094,6.268970258719992,6.995941368976191,8.25867829967793,6.542021364767479,8.058559562961786,8.126889831570745,8.187385414038536,8.231064447391626,7.698726935852182,6.575195090113939,7.927427598595258,8.197208338916875,8.1837605721141,8.185023156738422,6.323572750171666,8.015102765544805,7.671165502419709,0.0,5.609132745039962,0.0,7.530530408674329,8.231064447391626,8.011369084586017,6.339093562980525,8.209743841437707,8.231064447391626,8.231064447391626,5.623174613146649,0.0,8.207040878477159,8.159193801128383,8.115272497743309,4.601026763858021,8.041384575068236,7.787563460646934,7.631606400037225,6.889360897901629,8.231064447391626,5.4362699730618225,6.331284516669996,0.0,7.94331822055573,8.231064447391626,7.421117000731304,8.231064447391626,7.175480413657488,7.541518937867151,6.384184116490157,7.930413883787365,3.674827739573371,7.690427808063876,8.220678667211848,8.231064447391626,7.948882591671157,8.131991941309252,7.26282152135409,0.0,0.0,7.2131189375293765,4.781265667604729
Chile,5.8381716979054685,8.04018558673051,0.0,8.13525263610897,-inf,2.088302814377858,5.28487746330311,6.567162746427904,5.756230963749344,7.967191669860742,7.749532260151742,8.892015677777026,7.908016049481433,5.529207277992875,3.3471127107951926,5.2074708721606315,5.8381716979054685,8.633769550460032,8.325975452501295,6.462080386258735,5.3850548001436005,8.852947883320946,5.15990868153196,7.956867982761431,5.956763734039028,7.144484097331379,0.0,8.212184701252431,0.0,7.345096342528183,5.8381716979054685,5.985536987285636,7.953808682073247,5.5756552240589965,5.8381716979054685,5.8381716979054685,8.050675163151247,0.0,5.537326907739488,4.415091185078375,4.212262619873716,8.105637053773913,5.722820623865745,6.909993601667836,8.607954579609798,8.38809808985056,5.8381716979054685,8.200360293552514,7.955355024585197,0.0,6.39021835725273,5.8381716979054685,8.533770424008921,5.8381716979054685,7.652398616636603,7.331706818907907,8.295318667196423,6.449048753758567,8.123627878146673,7.1109964979433835,5.718165289337904,5.8381716979054685,6.363493341162727,2.4078077541503764,8.48445370702358,0.0,0.0,8.470058934461383,8.099682708262417
Mexico,5.861420175182559,8.037581259482712,0.0,8.132884770040096,2.088302814377858,-inf,5.324965173816043,6.555751544223876,5.781439841202745,7.964389856032302,7.746047959055221,8.89090541414213,7.905043178604782,5.496647208439949,3.0130490440589632,5.250716091419871,5.861420175182559,8.632331904134842,8.324019141344705,6.449396748174198,5.421389775882046,8.851793360154202,5.205213415280763,7.954037052868887,5.935651943376863,7.138093885614084,0.0,8.209992361482229,0.0,7.339870722675211,5.861420175182559,5.965030178052601,7.950969065926665,5.605778656169042,5.861420175182559,5.861420175182559,8.048098046461652,0.0,5.56860910978037,4.508225114276003,4.084932228189354,8.103197926366576,5.696069317592551,6.901907840387549,8.606479309559338,8.386259720332195,5.861420175182559,8.19814184784795,7.952519802290354,0.0,6.376583227197152,5.861420175182559,8.53218146030373,5.861420175182559,7.648558206884943,7.326410573115083,8.293301391583913,6.436197671898034,8.121232292406301,7.104387949365537,5.744339565964698,5.861420175182559,6.349486300641373,1.1113226026409502,8.482784349311212,0.0,0.0,8.46836535243112,8.097228996237243
India,4.982382452170524,8.101835022783128,0.0,8.191465302681733,5.28487746330311,5.324965173816043,-inf,6.8119915689885415,4.777647454722809,8.033358241543787,7.831147447222895,8.91878357384768,7.97807809064513,6.107633195898409,5.419430666269672,2.6877404676494345,4.982382452170524,8.668290048395168,8.372651379556272,6.7306862269217245,3.034570947393392,8.880767538298647,3.143352385567194,8.02369873208936,6.369366155244407,7.289219632367737,0.0,8.264341589191455,0.0,7.465033568180501,4.982382452170524,6.38850424626501,8.020837487709807,4.19859084014756,4.982382452170524,4.982382452170524,8.111700536048652,0.0,4.0372119530492085,4.741802202207259,5.5791225336970545,8.163491426739261,6.220781326579666,7.089719131307476,8.643362027914447,8.432023439136158,4.982382452170524,8.2531214827592,8.022283650604722,0.0,6.676222518071871,4.982382452170524,8.571853140054198,4.982382452170524,7.741976706729364,7.453166397973089,8.343413290368296,6.720739592098402,8.180479479954322,7.26031035940578,4.672978558860126,4.982382452170524,6.656212127631818,5.339649221307467,8.524423640286184,0.0,0.0,8.510596796642972,8.157872732730064
Malaysia,6.960822078629115,7.7798183682777875,0.0,7.901499310442976,6.567162746427904,6.555751544223876,6.8119915689885415,-inf,6.934887044565103,7.684046182708556,7.383453958102301,8.789099033444751,7.60471621193462,6.129931282368768,6.526389647447608,6.795683711842872,6.960822078629115,8.498391102162893,8.136932252445714,4.262070766218864,6.834615346203994,8.74570316378095,6.786149354451276,7.670320288255254,5.783797361019651,6.320316316224621,0.0,7.997742774150806,0.0,6.7301053355902365,6.960822078629115,5.748477634617979,7.666243773667615,6.882715512258741,6.960822078629115,6.960822078629115,7.7934065017574,0.0,6.872487447491811,6.677131421306101,6.467449605014159,7.863936849425373,6.005324407711516,5.672952507727054,8.468777806818167,8.211510933429723,6.960822078629115,7.983069480706838,7.668304791524772,0.0,4.7480749852799935,6.960822078629115,8.383028063395281,6.960822078629115,7.2401775971720905,6.70519694694342,8.099776131437466,4.372581889403279,7.886790760271882,6.242260840624696,6.923328114593085,6.960822078629115,4.8757986690740305,6.551421878282301,8.325452507030077,0.0,0.0,8.308555880486102,7.856348321186958
Ghana,3.2957220297812726,8.13720386145642,0.0,8.223850490032094,5.756230963749344,5.781439841202745,4.777647454722809,6.934887044565103,-inf,8.071187032257006,7.877261135915683,8.934563189793087,8.018014561129293,6.342294982883373,5.842311888214465,4.894273057127227,3.2957220297812726,8.688516323399057,8.399741676765693,6.863329315773951,4.5852983004736165,8.89715359837069,4.955868823630456,8.06188777778918,6.554662803476409,7.367236200976082,0.0,8.294484561360065,0.0,7.53087618038045,3.2957220297812726,6.570589462970337,8.059133889243661,3.95569639606787,3.2957220297812726,3.2957220297812726,8.146728168880385,0.0,4.129653017882963,5.4530326106931515,5.9497661201955365,8.19678021792021,6.432812499229699,7.184170603627042,8.664093584646928,8.457571919997902,3.2957220297812726,8.28359943577643,8.060525754172533,0.0,6.815794787632045,3.2957220297812726,8.594104503427005,3.2957220297812726,7.792284827674099,7.519769423059398,8.371296245414529,6.854623670772761,8.213216614025825,7.340525841705597,2.4688161636125074,3.2957220297812726,6.7984139430293755,5.7907673749897715,8.54774329621326,0.0,0.0,8.534237321358477,8.191345985305992
Netherlands,8.079585824720098,5.386531451244712,0.0,6.268970258719992,7.967191669860742,7.964389856032302,8.033358241543787,7.684046182708556,8.071187032257006,-inf,6.335511391674416,8.386838717551344,5.11050412200268,7.875803407443755,7.957290799478812,8.028577829430462,8.079585824720098,7.913327829275354,7.126906045730518,7.716172441589423,8.040081711382824,8.32123531949037,8.025808434911312,3.3887199614066,7.8234005706845915,7.388728029962079,0.0,6.685662323099231,0.0,7.197555489095662,8.079585824720098,7.81887613935055,3.6467366919306037,8.05473449621098,8.079585824720098,8.079585824720098,5.526117443399513,0.0,8.051577614443671,7.995452899850966,7.943511380994117,6.059933493370079,7.855148670639162,7.540357995794154,7.859526584167553,7.319671020943636,8.079585824720098,6.63004689288636,3.524724157085038,0.0,7.7357645734703855,8.079585824720098,7.695681736624312,8.079585824720098,6.65808085344698,7.212852658553489,7.021382730368396,7.719859889460824,6.1913222778856944,7.41419729757482,8.067491103767848,8.079585824720098,7.742608060484191,7.963333086795882,7.577740579208075,0.0,0.0,7.541710634781537,6.0129282230203325
