,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,-inf,0.16743970937732083,0.0,0.997650725637584,-1.0560126721744074,-0.8538325027318062,-0.23705232896544418,-0.12594716968932598,-1.1905302384959209,0.5623417844570016,0.20396073597490777,1.2410624915324164,0.1534238400289125,0.06848540661509778,-0.31123595740530274,-2.263124024113132,-inf,0.9900377112206704,0.6387427336577194,-0.9242498215645549,-0.7939514251365597,0.9574726905275472,-1.8890526270343238,0.5575284836020455,-0.5241867135834328,-0.44704363560233745,0.0,0.46888361976921694,0.0,-0.4982862282931111,-0.7210940784975315,-0.40497422561069424,0.3101399963256915,-2.192117657876384,-1.6827561964735733,-inf,0.6717580702548436,0.0,-2.485066674591286,-0.8334953892556242,-1.535249229251887,0.7519819837237945,-0.7368901139550016,-0.39099874632605386,0.7561952131899324,0.41744967411187345,-2.297522917452275,0.9149806797304494,0.11010564868582545,0.0,-0.7880800293625674,-1.199841347226897,1.2077539393167005,-0.8638406258512692,-0.22856950521391742,0.02934616021735586,0.7916042106512974,-0.7005122361189939,0.9578076663077231,0.13329237631239962,-2.023212455975986,1.3846843184465079,0.3989385255608101,-1.419158520039074,1.1505014548554586,0.0,0.0,0.45941589649513187,0.9693195201805559
New Zealand,0.16743970937732083,-inf,0.0,0.42502543546384897,-0.18100161989406396,-0.2790606638286962,-0.9331215640310291,-1.2019329395987062,-0.12986496675723697,-0.5577373138730941,-3.124111316642809,0.8228644822783846,-4.107125106553717,-2.1947266008788815,-0.7991012034194431,0.07533843653611798,0.16743970937732083,0.41148823659694483,-0.339924605996231,-0.2415048326487207,-0.31441077887508484,0.3526480105149727,0.030586439090424626,-0.5725644782967045,-0.5272305450083578,-0.6110917195264477,0.0,-0.877226329013614,0.0,-0.553901889887165,-0.3623280268304541,-0.6630448250993471,-1.7073705609054137,0.0682136439680302,-0.003593440681334678,0.16743970937732083,-0.2543736473520066,0.0,0.09435882650215449,-0.2906916326382971,-0.03368915216508892,-0.06301857923472198,-0.35144007978062974,-0.6814300865997904,-0.05352527287306356,-1.0912067921707371,0.07859535953959547,0.2734206140732695,-2.7199507627197477,0.0,-0.3180629228690276,-0.12666132339941716,0.7718136957148047,-0.27347150127034875,-0.9503569108932773,-1.8806365462814596,0.024360818040452,-0.37696073342468084,0.3532612427854749,-3.2266561633587556,0.04883207662442618,1.0336438095118354,-1.1777594104983955,-0.06149621179064709,0.6818349326686425,0.0,0.0,-0.9141056608815101,0.3742330893669705
Bosnia And Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,0.997650725637584,0.42502543546384897,0.0,-inf,0.8603818897941268,0.8268575166731269,0.6538621979814287,0.6044481493736659,0.8787314659447389,-0.04381988788206283,0.3958546276926271,-0.29117664871027277,0.4357255017173708,0.49531698632949517,0.6827747357642211,0.9585369919025917,0.997650725637584,-3.884049439592668,-0.20113094380461677,0.8394417967419139,0.8152977021827373,-2.2368058543648415,0.9402761035993863,-0.03505500250646563,0.7513531951967332,0.7287012432202612,0.0,0.10768272863290726,0.0,0.7439982329729277,0.8000639839735081,0.7153534520815586,0.2988351440786352,0.9555973397999132,0.92665378309111,0.997650725637584,-0.282061490888538,0.0,0.9664450451689331,0.8230237049707011,0.9148902853064714,-0.5264414231710652,0.8034818073401159,0.7107524591782965,-0.5417190475020591,0.17715685180289306,0.9598848802947326,-1.5362974939237637,0.46719175713615485,0.0,0.8141190522478046,0.8799011218916633,-0.4556154122737713,0.8287104696090684,0.6503609362886312,0.5200562889892864,-0.6832575267951194,0.7955107601878549,-2.2450117191507974,0.4506419712083193,0.9476627765761684,0.2481574211739869,0.20021167831171427,0.9042124154007674,-0.8032440863366291,0.0,0.0,0.12111467247477144,-2.5802728487613678
Chile,-1.0560126721744074,-0.18100161989406396,0.0,0.8603818897941268,-inf,-2.551816017562722,-0.8184609992649723,-0.6276939098084034,-3.128578095521504,0.34141500172113254,-0.12964181940283487,1.1350878832621278,-0.20091862241572084,-0.3242838236285008,-0.9552888542026122,-1.4113455338852792,-1.0560126721744074,0.8516438157420586,0.43583781528516247,-3.0161595162817814,-2.261299215684051,0.8141535671898691,-1.6264569023462254,0.33540811779039925,-1.4097813824275651,-1.2321116783761596,0.0,0.22343869735433194,0.0,-1.348108779684483,-1.9777517476849944,-1.1420815309337724,0.01565285339219293,-1.4432457248667774,-1.8202885756083893,-1.0560126721744074,0.47613232784698645,0.0,-1.3298384086148103,-2.445442304776909,-2.021640660044304,0.5728760724668112,-2.0343917430117204,-1.1130936299730312,0.5779136376831701,0.15721313030663248,-1.3970216937607796,0.7649500397309472,-0.26324183772228277,0.0,-2.236076638450015,-3.0661976572264953,1.0979857504340151,-2.6077526019035435,-0.8033393699768199,-0.38281213367843075,0.6200892582954383,-1.907230935371025,0.8145401521056781,-0.2297352124061361,-1.5342840495576684,1.2935552510313693,0.1331330659279763,-2.2450475749120806,1.033873568647635,0.0,0.0,0.21132113392805596,0.8278135542871701
Mexico,-0.8538325027318062,-0.2790606638286962,0.0,0.8268575166731269,-2.551816017562722,-inf,-1.0128842237713112,-0.7855225339833501,-2.1060319457377905,0.284424525402006,-0.22255621507990903,1.1097193687107394,-0.301052395523798,-0.43834218628779303,-1.1816863068745624,-1.1339648988270155,-0.8538325027318062,0.8178201884173668,0.384117526624631,-3.5421506023276144,-3.6391372861011426,0.7790148489308099,-1.292567251892646,0.2780642407821321,-1.7942225040094049,-1.543013651671642,0.0,0.15907765660450432,0.0,-1.704897559408086,-2.806104075396264,-1.4220707561130133,-0.06418018108237158,-1.1580438724375361,-1.4274539209422352,-0.8538325027318062,0.42650620413296775,0.0,-1.071600419341361,-4.738954524886539,-1.5588493758299866,0.5279305207519028,-2.94086542890982,-1.3838932221627038,0.533199058409258,0.08829014693138443,-1.123091995649489,0.7280059983102233,-0.3701713086593485,0.0,-3.542634122229179,-2.083144412853292,1.0716455927842647,-5.463190594644928,-0.9945469275609681,-0.504179418797048,0.5772614559326313,-2.6514193980910457,0.7794152566615692,-0.3329528146585397,-1.2257072998785168,1.2719449586983695,0.062469512840307564,-1.6935670942143697,1.0057646410078127,0.0,0.0,0.1461493204433083,0.7931599241404924
India,-0.23705232896544418,-0.9331215640310291,0.0,0.6538621979814287,-0.8184609992649723,-1.0128842237713112,-inf,-2.3782635993296495,-0.7238332075806931,-0.03477054983488885,-0.8271358137029831,0.9822046719392996,-0.9758576505995216,-1.2660787488008987,-2.8751266473790325,-0.37844593284534267,-0.23705232896544418,0.6431088678270704,0.0999792572234502,-0.9361848082516746,-1.0879839639423627,0.5967212104931251,-0.449832436152784,-0.043532931416405095,-1.6249915556617778,-1.900900455200567,0.0,-0.21163628212869065,0.0,-1.7071665363182054,-1.19491395983759,-2.1040949550385077,-0.5539662765200885,-0.3896852613545838,-0.505690494473264,-0.23705232896544418,0.1559142897526387,0.0,-0.3486642539350552,-1.037266373164169,-0.5559136458281846,0.28686926846609967,-1.170054563567296,-2.1841889297832267,0.29356920249527735,-0.3158963775614655,-0.3733234777358723,0.535192531808199,-1.116432098566612,0.0,-1.0959169214362101,-0.7180384108235011,0.9388389876569009,-1.0012768610632818,-5.002519813869238,-1.4236598362919088,0.3492361255072746,-1.228883850604542,0.5972016671239438,-1.039492765061591,-0.4204975263739694,1.1645919611605287,-0.35483092803874056,-0.6032470596782075,0.8632388377403452,0.0,0.0,-0.23042123200576445,0.6136709790581485
Malaysia,-0.12594716968932598,-1.2019329395987062,0.0,0.6044481493736659,-0.6276939098084034,-0.7855225339833501,-2.3782635993296495,-inf,-0.5488712208387053,-0.13568734015297224,-1.0654040924077497,0.9468686464888934,-1.2582263672159926,-1.6648260371021693,-1.9030011316431865,-0.2514961853691535,-0.12594716968932598,0.5931470169548945,0.012359873098009375,-0.7239519652753604,-0.8448857824542185,0.5443239285885871,-0.3140993892898396,-0.14538467691133058,-1.239169124887687,-1.4182168159486146,0.0,-0.3333106501070296,0.0,-1.294297234328953,-0.9277526139955632,-1.5386653229185432,-0.7299054058865987,-0.26138888650327163,-0.3626924068939723,-0.12594716968932598,0.0732640350675489,0.0,-0.22521892215722322,-0.804897760370709,-0.4060761587615947,0.21473922408534277,-0.9086662993712193,-1.5833783321309334,0.2219384807082053,-0.4518909326077531,-0.24698306405400897,0.47937556885303023,-1.4492998243914177,0.0,-0.851101431133323,-0.5440042936802135,0.9019076093048426,-0.7762648417275786,-2.45351924473197,-1.9097353719821017,0.2816181371529987,-0.953654068619437,0.5448302245119342,-1.3435315056892816,-0.28844045995489914,1.1352346247950915,-0.49662595132841186,-0.4466873014472853,0.8233485985931572,0.0,0.0,-0.3545521016208923,0.5621774059030994
Ghana,-1.1905302384959209,-0.12986496675723697,0.0,0.8787314659447389,-3.128578095521504,-2.1060319457377905,-0.7238332075806931,-0.5488712208387053,-inf,0.3720579204213636,-0.08100399422810896,1.1490604360361745,-0.1487796320963038,-0.2654966653165538,-0.847508859312578,-1.6092629427421896,-1.1905302384959209,0.8701529531583747,0.46375791468870814,-2.377642714383438,-1.910576769301536,0.8333630394646242,-1.878330949531875,0.36623284235481873,-1.244875819489386,-1.0922644638068906,0.0,0.2578533293269745,0.0,-1.1923373956643386,-1.7028698297782565,-1.0135342656534245,0.0578499571687317,-1.6482827014557129,-2.1353856596637395,-1.1905302384959209,0.5029644245488731,0.0,-1.510769749697832,-2.036628917937265,-2.4229690418446355,0.5972638585409956,-1.7456013487056634,-0.9879988747691573,0.6021803525324425,0.19394129044823438,-1.5918313417649264,0.7851186188737505,-0.20784121530253696,0.0,-1.892749522617971,-5.871729284953056,1.1124826416965037,-2.141487215212155,-0.7100675357958591,-0.320589628649518,0.6433653633150901,-1.6488494281890405,0.8337422705538292,-0.17611205531452115,-1.761249674662894,1.305492306507094,0.17073975170181327,-2.7783251923678582,1.049322950281956,0.0,0.0,0.2461481018804677,0.8467648633695259
Netherlands,0.5623417844570016,-0.5577373138730941,0.0,-0.04381988788206283,0.34141500172113254,0.284424525402006,-0.03477054983488885,-0.13568734015297224,0.3720579204213636,-inf,-0.6376613926680814,0.5332776641480755,-0.5294003932881486,-0.3799552612520192,0.021992379997575386,0.501230942873877,0.5623417844570016,-0.06554279912260112,-1.9709746988557544,0.30597473827087074,0.26445592311586985,-0.16213401535143657,0.47222740731742635,-4.7764360824366,0.15077957947670784,0.1090884582369542,0.0,-1.8542647691614573,0.0,0.13732941748833255,0.23788003401020846,0.08414168001183606,-0.9386360390427113,0.4965828780913555,0.4503849363075946,0.5623417844570016,-1.595046827627613,0.0,0.5136957029456033,0.2778205195352352,0.4313764911918938,-1.0039667797085186,0.24386889552127397,0.07547475011560707,-0.9798191207005308,-1.4409955653148774,0.5033595222643058,-0.2984734073564049,-0.4488200077258958,0.0,0.2624104180177841,0.3739985212222192,0.4644783762344011,0.2876098273421658,-0.041753667976549995,-0.32158914138406164,-0.7937258740412914,0.22987762803783465,-0.16110812162596086,-0.4907077063096968,0.4839971386680258,0.8059346520264413,-1.3297817188566416,0.4140015699524422,0.34003729993873394,0.0,0.0,-1.7624258768103584,-0.1262743601271834
