,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,-inf,4.48863636973214,,4.663439094112067,0.6931471805599453,3.091042453358316,4.454347296253507,3.258096538021482,0.6931471805599453,5.4510384535657,5.697093486505405,4.584967478670572,4.31748811353631,3.8918202981106265,3.5263605246161616,0.0,0.0,4.59511985013459,6.29156913955832,2.0794415416798357,3.6635616461296463,0.0,0.0,3.091042453358316,1.0986122886681098,1.791759469228055,0.6931471805599453,6.82001636467413,,2.8903717578961645,,,3.7612001156935624,0.0,2.302585092994046,3.1354942159291497,4.727387818712341,2.5649493574615367,2.5649493574615367,1.0986122886681098,0.6931471805599453,6.180016653652572,0.6931471805599453,1.6094379124341003,4.07753744390572,0.0,0.0,3.332204510175204,,2.302585092994046,1.6094379124341003,2.70805020110221,4.174387269895637,1.3862943611198906,1.6094379124341003,1.0986122886681098,6.349138991379798,1.9459101490553132,5.768320995793772,5.0369526024136295,2.302585092994046,2.8903717578961645,6.677083461247136,2.1972245773362196,1.791759469228055,1.3862943611198906,4.709530201312334,3.970291913552122,7.906547232368036
New Zealand,4.48863636973214,-inf,,2.833213344056216,4.465908118654584,4.204692619390966,1.0986122886681098,4.143134726391533,4.465908118654584,4.969813299576001,5.342334251964811,2.1972245773362196,2.6390573296152584,3.6888794541139363,4.007333185232471,4.499809670330265,4.477336814478207,2.302585092994046,6.111467339502679,4.394449154672439,3.912023005428146,4.477336814478207,4.477336814478207,4.204692619390966,4.454347296253507,4.418840607796598,4.51085950651685,6.717804695023691,,4.2626798770413155,,,3.828641396489095,4.499809670330265,4.3694478524670215,4.189654742026425,3.1780538303479458,4.330733340286331,4.330733340286331,4.454347296253507,4.51085950651685,5.976350909297934,4.465908118654584,4.430816798843313,3.4011973816621555,4.499809670330265,4.477336814478207,4.110873864173311,,4.3694478524670215,4.430816798843313,4.30406509320417,3.1780538303479458,4.442651256490317,4.430816798843313,4.454347296253507,6.180016653652572,4.406719247264253,5.442417710521793,4.174387269895637,4.3694478524670215,4.2626798770413155,6.558197802812269,4.382026634673881,4.418840607796598,4.442651256490317,3.091042453358316,3.58351893845611,7.873217054862741
Bosnia And Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,4.663439094112067,2.833213344056216,,-inf,4.6443908991413725,4.430816798843313,2.995732273553991,4.382026634673881,4.6443908991413725,4.844187086458591,5.2574953720277815,2.0794415416798357,3.4339872044851463,4.04305126783455,4.276666119016055,4.672828834461906,4.653960350157523,1.9459101490553132,6.073044534100405,4.584967478670572,4.204692619390966,4.653960350157523,4.653960350157523,4.430816798843313,4.634728988229636,4.605170185988092,4.68213122712422,6.697034247666484,,4.477336814478207,,,4.143134726391533,4.672828834461906,4.564348191467836,4.418840607796598,1.9459101490553132,4.532599493153256,4.532599493153256,4.634728988229636,4.68213122712422,5.932245187448011,4.6443908991413725,4.61512051684126,3.8501476017100584,4.672828834461906,4.653960350157523,4.356708826689592,,4.564348191467836,4.61512051684126,4.51085950651685,3.713572066704308,4.624972813284271,4.61512051684126,4.634728988229636,6.144185634125646,4.59511985013459,5.365976015021851,3.871201010907891,4.564348191467836,4.477336814478207,6.5337888379333435,4.574710978503383,4.605170185988092,4.624972813284271,1.6094379124341003,3.970291913552122,7.866722285136729
Chile,0.6931471805599453,4.465908118654584,,4.6443908991413725,-inf,2.995732273553991,4.430816798843313,3.1780538303479458,-inf,5.442417710521793,5.69035945432406,4.564348191467836,4.290459441148391,3.8501476017100584,3.4657359027997265,1.0986122886681098,0.0,4.574710978503383,6.2878585601617845,1.791759469228055,3.6109179126442243,0.0,0.0,2.995732273553991,0.0,1.3862943611198906,1.3862943611198906,6.81783057145415,,2.772588722239781,,,3.713572066704308,1.0986122886681098,2.0794415416798357,3.044522437723423,4.709530201312334,2.3978952727983707,2.3978952727983707,0.0,1.3862943611198906,6.175867270105761,-inf,1.0986122886681098,4.04305126783455,1.0986122886681098,0.0,3.258096538021482,,2.0794415416798357,1.0986122886681098,2.5649493574615367,4.143134726391533,0.6931471805599453,1.0986122886681098,0.0,6.345636360828596,1.6094379124341003,5.762051382780177,5.0238805208462765,2.0794415416798357,2.772588722239781,6.674561391814426,1.9459101490553132,1.3862943611198906,0.6931471805599453,4.6913478822291435,3.9318256327243257,7.905810312658931
Mexico,3.091042453358316,4.204692619390966,,4.430816798843313,2.995732273553991,-inf,4.1588830833596715,1.3862943611198906,2.995732273553991,5.351858133476067,5.62040086571715,4.330733340286331,3.970291913552122,3.295836866004329,2.4849066497880004,3.1354942159291497,3.044522437723423,4.343805421853684,6.249975242259483,2.6390573296152584,2.833213344056216,3.044522437723423,3.044522437723423,-inf,2.9444389791664403,2.772588722239781,3.1780538303479458,6.795705775173514,,1.3862943611198906,,,3.044522437723423,3.1354942159291497,2.4849066497880004,0.0,4.51085950651685,2.1972245773362196,2.1972245773362196,2.9444389791664403,3.1780538303479458,6.133398042996649,2.995732273553991,2.833213344056216,3.6109179126442243,3.1354942159291497,3.044522437723423,1.791759469228055,,2.4849066497880004,2.833213344056216,1.9459101490553132,3.7612001156935624,2.8903717578961645,2.833213344056216,2.9444389791664403,6.309918278226516,2.70805020110221,5.697093486505405,4.882801922586371,2.4849066497880004,1.3862943611198906,6.648984550024776,2.5649493574615367,2.772588722239781,2.8903717578961645,4.48863636973214,3.4339872044851463,7.898411092811599
India,4.454347296253507,1.0986122886681098,,2.995732273553991,4.430816798843313,4.1588830833596715,-inf,4.0943445622221,4.430816798843313,4.990432586778736,5.356586274672012,2.4849066497880004,2.3978952727983707,3.6109179126442243,3.9512437185814275,4.465908118654584,4.442651256490317,2.5649493574615367,6.118097198041348,4.356708826689592,3.8501476017100584,4.442651256490317,4.442651256490317,4.1588830833596715,4.418840607796598,4.382026634673881,4.477336814478207,6.721425700790643,,4.219507705176107,,,3.7612001156935624,4.465908118654584,4.330733340286331,4.143134726391533,3.295836866004329,4.290459441148391,4.290459441148391,4.418840607796598,4.477336814478207,5.983936280687191,4.430816798843313,4.394449154672439,3.295836866004329,4.465908118654584,4.442651256490317,4.060443010546419,,4.330733340286331,4.394449154672439,4.2626798770413155,3.044522437723423,4.406719247264253,4.394449154672439,4.418840607796598,6.186208623900494,4.3694478524670215,5.455321115357702,4.219507705176107,4.330733340286331,4.219507705176107,6.56244409369372,4.343805421853684,4.382026634673881,4.406719247264253,3.2188758248682006,3.4965075614664802,7.874358824729881
Malaysia,3.258096538021482,4.143134726391533,,4.382026634673881,3.1780538303479458,1.3862943611198906,4.0943445622221,-inf,3.1780538303479458,5.332718793265369,5.605802066295998,4.276666119016055,3.8918202981106265,3.1354942159291497,2.0794415416798357,3.295836866004329,3.2188758248682006,4.290459441148391,6.2422232654551655,2.8903717578961645,2.5649493574615367,3.2188758248682006,3.2188758248682006,1.3862943611198906,3.1354942159291497,2.995732273553991,3.332204510175204,6.7912214627261855,,2.0794415416798357,,,2.833213344056216,3.295836866004329,2.772588722239781,1.0986122886681098,4.465908118654584,2.5649493574615367,2.5649493574615367,3.1354942159291497,3.332204510175204,6.124683390894205,3.1780538303479458,3.044522437723423,3.4965075614664802,3.295836866004329,3.2188758248682006,0.6931471805599453,,2.772588722239781,3.044522437723423,2.3978952727983707,3.6635616461296463,3.091042453358316,3.044522437723423,3.1354942159291497,6.302618975744905,2.9444389791664403,5.683579767338681,4.852030263919617,2.772588722239781,2.0794415416798357,6.643789733147672,2.833213344056216,2.995732273553991,3.091042453358316,4.442651256490317,3.295836866004329,7.896924656268864
Ghana,0.6931471805599453,4.465908118654584,,4.6443908991413725,-inf,2.995732273553991,4.430816798843313,3.1780538303479458,-inf,5.442417710521793,5.69035945432406,4.564348191467836,4.290459441148391,3.8501476017100584,3.4657359027997265,1.0986122886681098,0.0,4.574710978503383,6.2878585601617845,1.791759469228055,3.6109179126442243,0.0,0.0,2.995732273553991,0.0,1.3862943611198906,1.3862943611198906,6.81783057145415,,2.772588722239781,,,3.713572066704308,1.0986122886681098,2.0794415416798357,3.044522437723423,4.709530201312334,2.3978952727983707,2.3978952727983707,0.0,1.3862943611198906,6.175867270105761,-inf,1.0986122886681098,4.04305126783455,1.0986122886681098,0.0,3.258096538021482,,2.0794415416798357,1.0986122886681098,2.5649493574615367,4.143134726391533,0.6931471805599453,1.0986122886681098,0.0,6.345636360828596,1.6094379124341003,5.762051382780177,5.0238805208462765,2.0794415416798357,2.772588722239781,6.674561391814426,1.9459101490553132,1.3862943611198906,0.6931471805599453,4.6913478822291435,3.9318256327243257,7.905810312658931
Netherlands,5.4510384535657,4.969813299576001,,4.844187086458591,5.442417710521793,5.351858133476067,4.990432586778736,5.332718793265369,5.442417710521793,-inf,4.174387269895637,4.90527477843843,5.062595033026967,5.214935757608986,5.293304824724492,5.455321115357702,5.44673737166631,4.897839799950911,5.726847747587197,5.41610040220442,5.267858159063328,5.44673737166631,5.44673737166631,5.351858133476067,5.438079308923196,5.424950017481403,5.459585514144159,6.52649485957079,,5.3706380281276624,,,5.247024072160486,5.455321115357702,5.407171771460119,5.3471075307174685,4.787491742782046,5.393627546352362,5.393627546352362,5.438079308923196,5.459585514144159,5.521460917862246,5.442417710521793,5.429345628954441,5.159055299214529,5.455321115357702,5.44673737166631,5.3230099791384085,,5.407171771460119,5.429345628954441,5.384495062789089,5.123963979403259,5.43372200355424,5.429345628954441,5.438079308923196,5.82600010738045,5.420534999272286,4.465908118654584,4.3694478524670215,5.407171771460119,5.3706380281276624,6.329720905522696,5.4116460518550396,5.424950017481403,5.43372200355424,4.804021044733257,5.19295685089021,7.8168199657645525
Spain,5.697093486505405,5.342334251964811,,5.2574953720277815,5.69035945432406,5.62040086571715,5.356586274672012,5.605802066295998,5.69035945432406,4.174387269895637,-inf,5.298317366548036,5.407171771460119,5.517452896464707,5.575949103146316,5.700443573390687,5.6937321388027,5.293304824724492,5.488937726156687,5.66988092298052,5.556828061699537,5.6937321388027,5.6937321388027,5.62040086571715,5.68697535633982,5.676753802268282,5.703782474656201,6.42648845745769,,5.634789603169249,,,5.541263545158426,5.700443573390687,5.662960480135946,5.616771097666572,5.220355825078324,5.652489180268651,5.652489180268651,5.68697535633982,5.703782474656201,5.220355825078324,5.69035945432406,5.680172609017068,5.476463551931511,5.700443573390687,5.6937321388027,5.598421958998375,,5.662960480135946,5.680172609017068,5.645446897643238,5.4510384535657,5.683579767338681,5.680172609017068,5.68697535633982,5.6131281063880705,5.673323267171493,3.091042453358316,4.969813299576001,5.662960480135946,5.634789603169249,6.206575926724928,5.666426688112432,5.676753802268282,5.683579767338681,5.231108616854587,5.501258210544727,7.790282380703483
Finland,4.584967478670572,2.1972245773362196,,2.0794415416798357,4.564348191467836,4.330733340286331,2.4849066497880004,4.276666119016055,4.564348191467836,4.90527477843843,5.298317366548036,-inf,3.1354942159291497,3.8918202981106265,4.1588830833596715,4.59511985013459,4.574710978503383,0.0,6.091309882077698,4.499809670330265,4.07753744390572,4.574710978503383,4.574710978503383,4.330733340286331,4.553876891600541,4.5217885770490405,4.605170185988092,6.706862336602747,,4.382026634673881,,,4.007333185232471,4.59511985013459,4.477336814478207,4.31748811353631,2.70805020110221,4.442651256490317,4.442651256490317,4.553876891600541,4.605170185988092,5.953243334287785,4.564348191467836,4.532599493153256,3.6635616461296463,4.59511985013459,4.574710978503383,4.248495242049359,,4.477336814478207,4.532599493153256,4.418840607796598,3.4965075614664802,4.543294782270004,4.532599493153256,4.553876891600541,6.161207321695077,4.51085950651685,5.402677381872279,4.02535169073515,4.477336814478207,4.382026634673881,6.54534966033442,4.48863636973214,4.5217885770490405,4.543294782270004,2.5649493574615367,3.8066624897703196,7.869783902530146
Portugal,4.31748811353631,2.6390573296152584,,3.4339872044851463,4.290459441148391,3.970291913552122,2.3978952727983707,3.8918202981106265,4.290459441148391,5.062595033026967,5.407171771460119,3.1354942159291497,-inf,3.258096538021482,3.713572066704308,4.330733340286331,4.30406509320417,3.1780538303479458,6.142037405587356,4.204692619390966,3.58351893845611,4.30406509320417,4.30406509320417,3.970291913552122,4.276666119016055,4.23410650459726,4.343805421853684,6.734591659972948,,4.04305126783455,,,3.4657359027997265,4.330733340286331,4.174387269895637,3.9512437185814275,3.6375861597263857,4.127134385045092,4.127134385045092,4.276666119016055,4.343805421853684,6.0112671744041615,4.290459441148391,4.248495242049359,2.772588722239781,4.330733340286331,4.30406509320417,3.8501476017100584,,4.174387269895637,4.248495242049359,4.0943445622221,2.302585092994046,4.2626798770413155,4.248495242049359,4.276666119016055,6.208590026096629,4.219507705176107,5.501258210544727,4.3694478524670215,4.174387269895637,4.04305126783455,6.577861357721047,4.189654742026425,4.23410650459726,4.2626798770413155,3.58351893845611,3.091042453358316,7.878534196140362
Brazil,3.8918202981106265,3.6888794541139363,,4.04305126783455,3.8501476017100584,3.295836866004329,3.6109179126442243,3.1354942159291497,3.8501476017100584,5.214935757608986,5.517452896464707,3.8918202981106265,3.258096538021482,-inf,2.70805020110221,3.912023005428146,3.871201010907891,3.912023005428146,6.19644412779452,3.713572066704308,2.302585092994046,3.871201010907891,3.871201010907891,3.295836866004329,3.828641396489095,3.7612001156935624,3.9318256327243257,6.7650389767805414,,3.4339872044851463,,,1.791759469228055,3.912023005428146,3.6635616461296463,3.258096538021482,4.1588830833596715,3.58351893845611,3.58351893845611,3.828641396489095,3.9318256327243257,6.073044534100405,3.8501476017100584,3.784189633918261,2.302585092994046,3.912023005428146,3.871201010907891,3.044522437723423,,3.6635616461296463,3.784189633918261,3.5263605246161616,2.772588722239781,3.8066624897703196,3.784189633918261,3.828641396489095,6.259581464064923,3.7376696182833684,5.602118820879701,4.653960350157523,3.6635616461296463,3.4339872044851463,6.61338421837956,3.6888794541139363,3.7612001156935624,3.8066624897703196,4.127134385045092,1.3862943611198906,7.888334500738654
