,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.017857142857142856
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.02040816326530612,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0136986301369863,0.04,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.02702702702702703,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.02127659574468085,0.0,0.04,0.0,0.019230769230769232,0.0,0.0,0.0,0.030303030303030304,0.0,0.014285714285714285
Bosnia And Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.021739130434782608,0.019230769230769232,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.023255813953488372,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03125,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.017543859649122806,0.0,0.022727272727272728,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.014925373134328358
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.02,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.05,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.024390243902439025,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.015625
India,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.02040816326530612,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0625,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.018518518518518517,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.015625
Malaysia,0.07142857142857142,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.019230769230769232,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517
Netherlands,0.0,0.02040816326530612,0.0,0.021739130434782608,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.015384615384615385,0.022222222222222223,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0,0.017857142857142856,0.015151515151515152,0.0,0.022222222222222223,0.0,0.0,0.025,0.0,0.027777777777777776,0.0,0.012048192771084338,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.02127659574468085,0.02040816326530612,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.02,0.0,0.0,0.023255813953488372,0.022222222222222223,0.024390243902439025,0.029411764705882353,0.0,0.019230769230769232,0.0,0.0,0.0,0.014285714285714285,0.0,0.017543859649122806,0.0196078431372549,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.019230769230769232,0.0125
Spain,0.0,0.0,0.0,0.019230769230769232,0.02564102564102564,0.02040816326530612,0.02040816326530612,0.0,0.0,0.015384615384615385,0.0,0.0196078431372549,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.016129032258064516,0.013888888888888888,0.0,0.0196078431372549,0.0,0.0,0.021739130434782608,0.0,0.023809523809523808,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.023809523809523808,0.018867924528301886,0.01818181818181818,0.023255813953488372,0.0,0.02564102564102564,0.0,0.012658227848101266,0.0,0.0,0.017857142857142856,0.0,0.02631578947368421,0.0,0.0196078431372549,0.0,0.025,0.0,0.017241379310344827,0.0,0.0,0.0,0.013157894736842105,0.024390243902439025,0.015873015873015872,0.017543859649122806,0.0,0.024390243902439025,0.014705882352941176,0.0,0.02564102564102564,0.0,0.02040816326530612,0.017241379310344827,0.011627906976744186
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.02631578947368421,0.0,0.058823529411764705,0.0,0.017857142857142856,0.0,0.023255813953488372,0.0,0.0,0.0,0.020833333333333332,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421,0.015151515151515152
Portugal,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.020833333333333332,0.0,0.0,0.04,0.0,0.0,0.0,0.02564102564102564,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.029411764705882353,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.015873015873015872
Brazil,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.020833333333333332,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.015873015873015872
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0625,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03125,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.015873015873015872
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.01818181818181818
