,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Bangladesh,,,,,,,2606.0,5714.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,1190.0,,9.0,,,,,,,,,,205.0,,,,,
New Zealand,,,,,,,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,8.0,,1.0,,,,,,,,,,10.0,,,,,
Bosnia And Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,74.0,9.0,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,22.0,,4.0,,,,,,,,,,18.0,,,,,
Chile,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,7.0,,,,,
Mexico,,,,,,,38.0,12.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,8.0,,,,,
India,2606.0,11.0,,74.0,,38.0,,127.0,282.0,,7.0,4.0,14.0,13.0,121.0,450.0,143.0,2.0,203.0,,28.0,1.0,589.0,3.0,8.0,3.0,,,,2.0,,,21.0,,5.0,,9.0,71.0,265.0,2.0,19.0,51.0,750.0,2.0,147.0,,6.0,8.0,,,4.0,684.0,7.0,42.0,1.0,1.0,89.0,3.0,37.0,10.0,1334.0,4.0,,253.0,47.0,,,22.0,
Malaysia,5714.0,15.0,,9.0,9.0,12.0,127.0,,137.0,,8.0,13.0,2.0,21.0,74.0,278.0,49.0,9.0,118.0,1.0,4137.0,1.0,901.0,,118.0,7.0,,,,3.0,,,16.0,,6.0,,3.0,2041.0,9862.0,,201.0,70.0,14.0,58.0,612.0,,3.0,2.0,,,14.0,1595.0,23.0,1608.0,1.0,3.0,115.0,3.0,68.0,19.0,3564.0,,38714.0,175.0,846.0,,,9.0,
Ghana,,,,1.0,,,282.0,137.0,,,,1.0,,,6.0,,291.0,2.0,3.0,,23.0,,,1.0,232.0,,,,,2.0,,,,,,,,,,,,6.0,12.0,6.0,,,,,,,,483.0,,165.0,,,1.0,,10.0,3.0,2530.0,,,13.0,4.0,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,7.0,8.0,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,41.0,,11.0,,,,,,,,,,10.0,,,,,
Finland,,,,,,,4.0,13.0,1.0,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,,9.0,,,,,
Portugal,,,,,,,14.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,12.0,,3.0,,,,,,,,,,5.0,,,,,
Brazil,,,,,,,13.0,21.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,9.0,,7.0,,,,,,,,,,11.0,,,,,
South Africa,,,,,,,121.0,74.0,6.0,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,10.0,4.0,,,,,,,,29.0,,1.0,,,,,,,,,,341.0,,,,,
Kuwait,,,,,,,450.0,278.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,108.0,5.0,,,,,,,,922.0,,3738.0,,,,,,,,,,,,,,,
Cameroon,,,,,,,143.0,49.0,291.0,,,,,,,,,,,,,,,,478.0,,,,,,,,,,,,,,,,,,1.0,661.0,,,,,,,,161.0,,,,,,,,,,,,30.0,,,,,
Denmark,,,,,,,2.0,9.0,2.0,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,26.0,,2.0,,,,,,,,,,13.0,,,,,
Canada,,,,,,,203.0,118.0,3.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,161.0,1.0,,,,,,,,197.0,,120.0,,,,,,,,,,38.0,,,,,
Cyprus,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,
Pakistan,,,,,,,28.0,4137.0,23.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,1158.0,,,,,,,,,1640.0,,50.0,,,,,,,,,,195.0,,,,,
Iceland,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,
Oman,,,,,,,589.0,901.0,,,,,,,,,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,221.0,64.0,,,,,,,,79.0,,2503.0,,,,,,,,,,,,,,,
Slovenia,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
