Document_ID,Country
2,USA
4,USA
22,USA
42,USA
48,CANADA
49,USA
50,CANADA
58,USA
61,USA
62,CANADA
64,CANADA
64,CANADA
65,CANADA
73,USA
76,USA
78,USA
82,USA
82,USA
85,USA
87,USA
88,USA
88,USA
90,USA
90,USA
91,USA
92,UK
92,UK
94,USA
94,CANADA
96,USA
96,USA
97,USA
103,USA
106,USA
107,USA
107,USA
108,USA
109,USA
110,USA
110,USA
116,USA
116,USA
117,USA
120,USA
121,USA
122,USA
138,USA
140,USA
142,USA
142,USA
144,USA
146,USA
146,USA
147,USA
148,USA
149,UK
150,USA
151,UK
151,UK
158,SOUTH AFRICA
158,SOUTH AFRICA
160,USA
160,USA
161,USA
163,USA
166,USA
175,USA
180,USA
182,USA
184,USA
188,USA
188,USA
197,USA
197,CANADA
200,NEW ZEALAND
201,USA
209,USA
210,USA
212,CANADA
213,CANADA
228,UK
237,USA
240,USA
248,USA
251,USA
251,USA
252,USA
253,USA
254,USA
255,UK
257,USA
260,USA
263,USA
263,USA
268,USA
280,USA
287,CANADA
298,USA
298,CANADA
298,CANADA
305,USA
308,USA
308,USA
309,USA
310,USA
312,USA
317,USA
322,USA
322,USA
323,USA
325,AUSTRALIA
326,USA
326,USA
342,USA
346,USA
347,USA
356,USA
358,USA
359,CANADA
360,USA
364,USA
376,USA
377,USA
377,USA
378,PEOPLES R CHINA
380,USA
380,USA
381,USA
386,CANADA
388,ISRAEL
390,USA
390,USA
398,CANADA
398,USA
402,CANADA
403,CANADA
405,CANADA
408,CANADA
409,CANADA
411,CANADA
412,USA
412,USA
413,USA
414,USA
414,USA
419,USA
419,SINGAPORE
420,USA
422,USA
422,USA
426,USA
431,USA
432,USA
433,USA
434,USA
436,USA
436,USA
437,USA
442,CANADA
442,USA
443,USA
444,USA
445,USA
447,USA
448,USA
451,USA
452,NETHERLANDS
452,NETHERLANDS
454,SWITZERLAND
461,SWITZERLAND
464,GERMANY
465,USA
465,USA
466,USA
468,USA
469,SOUTH AFRICA
469,AUSTRALIA
469,AUSTRALIA
475,USA
483,CANADA
483,CANADA
484,USA
486,USA
492,USA
494,USA
499,USA
500,USA
502,USA
504,USA
505,USA
507,USA
509,USA
512,USA
514,USA
519,USA
525,PEOPLES R CHINA
525,AUSTRALIA
526,CANADA
526,CANADA
527,CANADA
527,CANADA
527,CANADA
530,CANADA
530,CANADA
539,CANADA
540,CANADA
541,USA
544,USA
548,NETHERLANDS
549,UK
549,UK
555,USA
557,USA
557,USA
560,SINGAPORE
565,USA
567,USA
573,ISRAEL
576,USA
580,USA
582,USA
582,USA
588,USA
592,NEW ZEALAND
592,USA
592,NEW ZEALAND
592,USA
592,USA
598,USA
599,USA
600,USA
601,USA
601,USA
606,USA
607,USA
607,USA
608,USA
619,USA
620,USA
621,USA
622,USA
623,USA
626,USA
627,USA
628,USA
628,USA
628,USA
629,USA
631,USA
640,USA
646,USA
656,USA
658,CANADA
659,USA
661,USA
665,USA
665,USA
665,USA
670,CANADA
672,NEW ZEALAND
674,USA
674,USA
674,USA
674,USA
674,USA
678,USA
686,USA
688,USA
688,USA
689,USA
692,SOUTH AFRICA
693,USA
694,USA
699,USA
701,USA
705,USA
707,USA
710,USA
710,USA
714,JAMAICA
724,UK
725,USA
726,USA
727,USA
729,USA
732,USA
734,USA
735,USA
739,USA
740,USA
750,USA
759,USA
759,USA
760,UK
761,USA
762,USA
762,CANADA
765,USA
768,AUSTRALIA
769,CANADA
771,USA
774,CANADA
775,USA
775,TURKEY
778,USA
779,UK
779,UK
779,AUSTRALIA
786,POLAND
791,USA
791,USA
792,USA
793,AUSTRALIA
794,USA
795,USA
796,NEW ZEALAND
797,USA
797,USA
798,USA
798,UK
798,UK
799,USA
802,USA
802,USA
802,USA
804,USA
810,USA
814,USA
814,USA
815,UK
816,USA
818,AUSTRALIA
818,AUSTRALIA
828,NEW ZEALAND
829,USA
830,USA
833,USA
833,USA
835,USA
838,USA
841,HONG KONG
841,HONG KONG
844,USA
849,USA
849,USA
855,USA
868,USA
869,USA
870,USA
872,USA
872,USA
872,USA
872,USA
873,USA
879,USA
887,CANADA
889,USA
891,USA
906,USA
909,UK
910,USA
913,USA
918,USA
918,USA
919,USA
920,MALAYSIA
927,USA
930,CANADA
931,SOUTH AFRICA
932,USA
933,USA
938,USA
940,USA
941,USA
942,HONG KONG
942,HONG KONG
943,USA
948,USA
950,USA
952,USA
953,USA
954,USA
954,USA
954,USA
955,USA
956,USA
957,USA
958,NETHERLANDS
958,NETHERLANDS
961,USA
963,USA
963,USA
965,USA
967,CANADA
970,USA
975,JAPAN
977,USA
977,USA
980,USA
982,USA
982,USA
985,USA
986,USA
987,USA
990,USA
991,USA
994,CANADA
995,USA
998,USA
998,USA
1000,USA
1014,USA
1016,HONG KONG
1018,USA
1022,JAPAN
1026,USA
1027,USA
1028,USA
1033,CANADA
1036,USA
1037,USA
1040,USA
1041,USA
1043,CANADA
1045,USA
1046,USA
1060,USA
1060,USA
1063,UK
1064,USA
1065,USA
1067,USA
1072,ECUADOR
1079,USA
1080,AUSTRALIA
1084,USA
1085,USA
1085,USA
1085,USA
1087,USA
1089,USA
1090,USA
1090,USA
1094,CANADA
1094,CANADA
1094,CANADA
1094,USA
1097,USA
1104,JAPAN
1106,PHILIPPINES
1111,RUSSIA
1111,RUSSIA
1114,USA
1116,HONG KONG
1118,USA
1119,USA
1119,USA
1119,USA
1120,USA
1121,USA
1122,USA
1123,USA
1125,USA
1126,JAPAN
1127,USA
1128,South Africa
1129,USA
1130,Taiwan
1131,USA
1131,USA
1131,Denmark
1132,USA
1132,USA
1133,USA
1134,USA
1134,USA
1135,USA
1135,USA
1136,USA
1137,USA
1138,USA
1139,USA
1140,New Zealand
1141,USA
1141,USA
1141,Australia
1142,USA
1143,USA
1144,USA
1145,USA
1146,USA
1146,USA
1147,USA
1148,USA
1148,Saudi Arabia
1148,USA
1149,USA
1150,USA
1151,USA
1151,USA
1152,USA
1152,USA
1153,USA
1153,USA
1154,Australia
1155,USA
1156,USA
1157,New Zealand
1158,USA
1158,USA
1159,USA
1159,USA
1159,USA
1160,USA
1160,USA
1161,New Zealand
1162,USA
1162,USA
1163,UK
1164,USA
1164,USA
1165,USA
1166,Finland
1167,USA
1168,USA
1169,USA
1170,New Zealand
1171,Canada
1172,USA
1173,USA
1173,USA
1174,Australia
1174,Australia
1175,USA
1176,USA
