Year,Australia,Belgium,Canada,Denmark,Finland,France,Germany,India,Italy,Netherlands,New Zealand,Peoples R China,Portugal,South Korea,Spain,Sweden,Switzerland,Taiwan,UK,USA
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52
1998,8,1,7,2,2,0,1,0,0,3,4,3,0,1,1,0,2,1,9,135
1999,6,4,11,0,1,0,0,0,1,3,3,3,0,0,13,0,0,0,17,133
2000,16,1,3,0,1,1,2,0,0,12,5,3,0,0,6,1,0,0,17,156
2001,12,6,18,1,3,1,3,2,0,5,0,3,2,0,4,0,1,5,19,168
2002,11,0,26,1,0,2,1,2,2,8,2,7,0,0,10,0,1,3,14,190
2003,17,5,19,1,5,1,5,1,0,20,2,20,1,3,15,2,3,6,24,186
2004,10,5,28,0,4,2,0,1,2,27,2,6,1,0,8,1,1,2,26,227
2005,3,5,18,1,1,3,1,3,0,6,1,8,0,1,11,0,2,5,31,213
2006,17,5,26,0,3,3,6,0,3,9,2,4,2,0,12,4,5,10,25,162
2007,19,4,36,0,3,4,3,0,4,20,2,4,0,3,15,9,2,6,26,187
2008,24,16,49,3,6,4,11,6,4,18,0,19,3,10,25,3,4,27,57,328
2009,30,12,84,2,6,17,20,4,21,25,7,41,4,5,37,12,18,21,76,423
2010,30,6,67,5,14,30,15,5,9,36,4,29,12,10,23,9,9,25,66,285
2011,45,10,49,8,8,25,20,5,9,25,14,24,5,9,25,9,5,12,39,275
2012,30,12,46,1,5,14,17,2,7,22,6,23,6,9,29,1,7,16,58,214
2013,49,10,55,8,8,34,14,3,16,24,12,42,7,10,31,3,11,8,66,280
2014,63,15,47,10,5,34,28,7,5,21,4,42,8,14,31,5,8,14,53,213
2015,41,6,40,7,6,42,19,4,16,18,8,65,12,10,43,6,7,16,55,300
2016,46,17,72,12,5,41,29,6,7,24,5,75,3,8,28,7,6,4,98,210
2017,59,4,44,11,7,46,23,5,13,16,4,54,6,12,30,5,15,6,79,240
2018,78,9,75,12,19,53,33,8,27,32,11,107,15,26,37,5,9,11,91,327
2019,65,16,72,8,10,76,53,12,15,20,10,92,4,10,34,5,10,6,124,356
2020,53,11,38,8,7,44,55,14,13,29,6,65,4,2,29,9,13,2,118,200
2021,45,13,39,10,10,45,21,7,20,15,17,59,12,4,18,5,8,3,118,226
2022,46,7,41,12,12,41,26,21,19,21,12,97,3,14,13,15,12,2,68,224
2023,30,8,20,4,12,30,22,2,6,16,3,99,4,4,7,3,10,0,49,142
