Country,Cooperation_Breadth
CANADA,2
USA,47
UK,21
SINGAPORE,1
NEW ZEALAND,2
TURKEY,1
HONG KONG,2
Denmark,60
Australia,255
Saudi Arabia,5
Edward,2
Kathryn,3
Peoples R China,129
Israel,31
Switzerland,11
Poland,7
South Africa,11
Norway,18
Brazil,65
Oman,18
Kuwait,3
Belgium,88
Spain,21
Ireland,23
Netherlands,51
Russia,15
Mexico,29
Thailand,6
Germany,115
Finland,76
Bosnia & Herceg,6
Taiwan,19
India,34
Portugal,23
Malaysia,41
Chile,7
France,150
Costa Rica,5
Italy,72
Iran,1
JAPAN,1
Croatia,29
South Korea,26
Luxembourg,3
U Arab Emirates,6
Austria,53
Argentina,9
Estonia,28
Sweden,6
Nigeria,20
M. Tom,1
Donald,2
George,9
Joshua,1
David,17
Beverly,1
Charles,2
Christopher,4
Manuel,3
Jordan,9
Sandra,4
Dennis,2
Robert,5
John,5
Marshall,1
K. Praveen,1
Bruce,3
Gita,1
R. Edward,1
Anna-Maija,9
Maria,9
Paul,4
Cyprus,7
Simone,1
Anusorn,2
Mahesh,1
Sebnem,3
Egypt,38
Sean,2
Kevin,4
Greece,13
Indonesia,14
Helen,2
Carolyn Strand,1
Amit,1
Adele,3
Mukesh,2
Alan,4
Dasaratha,2
Silvia,2
Francesco,5
Jessica,1
Longinos,3
Lebanon,22
Jeanette,1
Alina,3
Jennifer,7
Michelle,1
Ginger,1
Nicole,2
Hungary,28
Chung-Leung,2
Curtis,1
Costanza,2
Jose,9
Reyes,2
Bill,2
Tim,2
J. Brooke,1
Andres,2
Harrison,1
Steven,2
Shane,1
Jack,1
Greg,3
Samuel Michael,1
North Macedonia,17
G. Stoney,1
Pakistan,19
Daniel,11
Eva,6
Glen,3
Ralph,2
Gregory,3
Scott John,2
H. Kristl,2
Catherine,3
Ibrahim,1
Shaomin,1
Amanda,5
Peru,3
Dan,9
Kiridaran,1
Margot,1
Jacob,3
Josh,3
Mark,3
Loc,2
Ron,1
Cynthia,4
Michael,4
Brent,2
Ran,1
Colombia,35
Marcio de Oliveira,1
Pallab,1
E. Holly,1
Hsing-Chau,2
Sviatoslav,1
K. Gregory,2
Leigh Plunkett,2
Matthew,2
Jeroimo,2
Monle,1
Jerry,1
Anna,6
Ofelia,1
Nicholas,3
Jeroen,6
Cedric,3
Diana,4
Joan,1
Hugo,1
James,6
Stephen,1
Harald,2
Cheryl,1
Karen,2
Russell,1
Hsien Chun,4
I-Heng,3
Amber Y-P,5
Pam Scholder,1
Felix,11
Matthias,3
Throstur Olaf,2
Iceland,6
John Michael,2
Roberto,2
Cameroon,7
K. Kathy,1
S. Prakash,1
H. Jack,2
G. Tyge,1
Pramodita,1
Andre,5
Olubunmi,1
Deanna,2
Nora,1
Megan,3
Rui,2
Dong-Jin,2
Haina,2
Sefa,1
Cam,4
Ryan,1
Federica,4
Slovenia,16
Amal,4
Lithuania,20
Paulina Man Kei,9
Mauritius,3
Magdalena,1
Hoje,3
Svetlana,1
Javier,5
Daejoong,1
Alyssa,1
Claus,1
Lauren,2
Lisa,4
Foo Nin,1
Fernando,3
Raymond,1
Joe,2
Jonathan,1
Raj,1
Praveen,2
Rajiv,1
Raul,1
Barbara,11
Pinar Celikkol,1
Kristen Bell,1
Shuili,1
D. Jordan,1
A. Wren,2
Oriol,2
Gary,2
Ronald,1
Jia Fei,2
Stefan,4
E. Guenter,2
Cindy,1
Philipp,4
Dongjing,1
Mary,3
Janie Harden,1
Barjinder,1
Rebecca Toppe,1
Suzanne,1
Teppo,1
Dorothee,2
Olga,4
Derek,1
Trinidad Tobago,2
Raphie,1
Julia,2
Omid,1
Hermann,1
Edina,2
Stijn,2
Douglas,1
Subrata,1
Jason,3
Stephanie,1
Alina S. Hernandez,7
Ruediger,1
Anne,13
Patrick,5
Belen,2
H. Onur,2
Fidel,21
Sri Lanka,5
Min,5
Montgomery,1
Sang-Eun,1
Hyejeong,2
Jingqiu,23
Seong-Hyun,1
Romania,13
Pamela,2
Eric,3
Gergely,1
Jiyun,1
Czech Republic,7
Sona,1
Bradley,3
Martin,2
Giovanni,5
Stefano,1
Angelica,3
Jeffrey,1
Qinxuan,1
Claudio,5
Carolin,3
Jodie,1
Tobias,2
Thomas Li-Ping,1
Emma,6
Jinhua,2
Soonkyoo,3
Keke,1
Audur Arna,4
Roberta,3
Rajesh,1
Jean-Noel,1
Hakkon,2
Emilia,4
Kristin,1
Chad,4
Margaret,1
R. Mitch,1
Anna Katharina,3
Maretno,1
Jane,1
Kathleen,1
Rene,2
Ricky,1
Mamta,2
Mateja Kos,2
Adrian,7
Biying,4
Jingyu,3
Marlene,3
Hye Jung,2
Godwin,3
Kai Chi,1
Nader,1
Bryan,3
Christof,2
Joon Sung,1
Krzysztof,2
Ken,2
Tessa,2
Brendan,2
Allison,1
Christos,3
Ming,2
Randy,1
Taylor,1
Robert Allen,2
Akanksha,1
