Country_1,Country_2,Cooperation_Count,Country_Pair
CANADA,CANADA,11,"('CANADA', 'CANADA')"
USA,USA,3663,"('USA', 'USA')"
UK,UK,489,"('UK', 'UK')"
CANADA,USA,11,"('CANADA', 'USA')"
SOUTH AFRICA,SOUTH AFRICA,1,"('SOUTH AFRICA', 'SOUTH AFRICA')"
SINGAPORE,USA,1,"('SINGAPORE', 'USA')"
NETHERLANDS,NETHERLANDS,2,"('NETHERLANDS', 'NETHERLANDS')"
AUSTRALIA,SOUTH AFRICA,2,"('AUSTRALIA', 'SOUTH AFRICA')"
AUSTRALIA,AUSTRALIA,2,"('AUSTRALIA', 'AUSTRALIA')"
AUSTRALIA,PEOPLES R CHINA,1,"('AUSTRALIA', 'PEOPLES R CHINA')"
NEW ZEALAND,USA,7,"('NEW ZEALAND', 'USA')"
NEW ZEALAND,NEW ZEALAND,1,"('NEW ZEALAND', 'NEW ZEALAND')"
TURKEY,USA,1,"('TURKEY', 'USA')"
AUSTRALIA,UK,2,"('AUSTRALIA', 'UK')"
UK,USA,269,"('UK', 'USA')"
HONG KONG,HONG KONG,2,"('HONG KONG', 'HONG KONG')"
RUSSIA,RUSSIA,1,"('RUSSIA', 'RUSSIA')"
Denmark,USA,27,"('Denmark', 'USA')"
Australia,USA,286,"('Australia', 'USA')"
Saudi Arabia,USA,12,"('Saudi Arabia', 'USA')"
Australia,Australia,277,"('Australia', 'Australia')"
Edward,USA,2,"('Edward', 'USA')"
Kathryn,USA,2,"('Kathryn', 'USA')"
Edward,Kathryn,1,"('Edward', 'Kathryn')"
Peoples R China,USA,485,"('Peoples R China', 'USA')"
Israel,Israel,16,"('Israel', 'Israel')"
Canada,Israel,10,"('Canada', 'Israel')"
Switzerland,Switzerland,50,"('Switzerland', 'Switzerland')"
Poland,Poland,2,"('Poland', 'Poland')"
Canada,Canada,316,"('Canada', 'Canada')"
Israel,USA,43,"('Israel', 'USA')"
Australia,Hong Kong,1,"('Australia', 'Hong Kong')"
South Africa,South Africa,18,"('South Africa', 'South Africa')"
Norway,Norway,24,"('Norway', 'Norway')"
Canada,USA,443,"('Canada', 'USA')"
Brazil,Brazil,31,"('Brazil', 'Brazil')"
Australia,Oman,3,"('Australia', 'Oman')"
Oman,USA,15,"('Oman', 'USA')"
Kuwait,USA,12,"('Kuwait', 'USA')"
Belgium,Belgium,81,"('Belgium', 'Belgium')"
South Africa,UK,14,"('South Africa', 'UK')"
Spain,Spain,159,"('Spain', 'Spain')"
Ireland,USA,21,"('Ireland', 'USA')"
Netherlands,USA,154,"('Netherlands', 'USA')"
Peoples R China,Peoples R China,569,"('Peoples R China', 'Peoples R China')"
Russia,USA,26,"('Russia', 'USA')"
Netherlands,Netherlands,159,"('Netherlands', 'Netherlands')"
Mexico,Spain,17,"('Mexico', 'Spain')"
Spain,UK,45,"('Spain', 'UK')"
Philippines,Spain,1,"('Philippines', 'Spain')"
Thailand,USA,26,"('Thailand', 'USA')"
Kuwait,Thailand,2,"('Kuwait', 'Thailand')"
Australia,UK,111,"('Australia', 'UK')"
Germany,USA,170,"('Germany', 'USA')"
Finland,Finland,47,"('Finland', 'Finland')"
Bosnia & Herceg,USA,2,"('Bosnia & Herceg', 'USA')"
Bosnia & Herceg,Kuwait,1,"('Bosnia & Herceg', 'Kuwait')"
Australia,Indonesia,9,"('Australia', 'Indonesia')"
Taiwan,USA,91,"('Taiwan', 'USA')"
India,India,41,"('India', 'India')"
Australia,Portugal,26,"('Australia', 'Portugal')"
Australia,South Africa,13,"('Australia', 'South Africa')"
Portugal,Portugal,80,"('Portugal', 'Portugal')"
Portugal,South Africa,6,"('Portugal', 'South Africa')"
Australia,Peoples R China,108,"('Australia', 'Peoples R China')"
Australia,Netherlands,30,"('Australia', 'Netherlands')"
Spain,USA,133,"('Spain', 'USA')"
Malaysia,USA,34,"('Malaysia', 'USA')"
Malaysia,Singapore,8,"('Malaysia', 'Singapore')"
Malaysia,UK,12,"('Malaysia', 'UK')"
Singapore,USA,90,"('Singapore', 'USA')"
Singapore,UK,20,"('Singapore', 'UK')"
Taiwan,Taiwan,98,"('Taiwan', 'Taiwan')"
Chile,USA,10,"('Chile', 'USA')"
Peoples R China,Taiwan,36,"('Peoples R China', 'Taiwan')"
India,USA,36,"('India', 'USA')"
Australia,Singapore,22,"('Australia', 'Singapore')"
Norway,USA,24,"('Norway', 'USA')"
Brazil,USA,68,"('Brazil', 'USA')"
Mexico,Mexico,5,"('Mexico', 'Mexico')"
France,Spain,52,"('France', 'Spain')"
Costa Rica,Costa Rica,6,"('Costa Rica', 'Costa Rica')"
Italy,Italy,82,"('Italy', 'Italy')"
Canada,UK,105,"('Canada', 'UK')"
Iran,USA,1,"('Iran', 'USA')"
Canada,Netherlands,37,"('Canada', 'Netherlands')"
DENMARK,UK,2,"('DENMARK', 'UK')"
FRANCE,USA,1,"('FRANCE', 'USA')"
HONG KONG,USA,1,"('HONG KONG', 'USA')"
JAPAN,USA,3,"('JAPAN', 'USA')"
Croatia,USA,22,"('Croatia', 'USA')"
Croatia,Croatia,1,"('Croatia', 'Croatia')"
Finland,South Korea,2,"('Finland', 'South Korea')"
Finland,USA,29,"('Finland', 'USA')"
South Korea,USA,131,"('South Korea', 'USA')"
Germany,Germany,153,"('Germany', 'Germany')"
Belgium,Netherlands,32,"('Belgium', 'Netherlands')"
Germany,UK,54,"('Germany', 'UK')"
Australia,Canada,69,"('Australia', 'Canada')"
Germany,Luxembourg,1,"('Germany', 'Luxembourg')"
Luxembourg,USA,1,"('Luxembourg', 'USA')"
India,South Korea,1,"('India', 'South Korea')"
Australia,Denmark,10,"('Australia', 'Denmark')"
Canada,New Zealand,15,"('Canada', 'New Zealand')"
South Africa,USA,38,"('South Africa', 'USA')"
Netherlands,UK,76,"('Netherlands', 'UK')"
Japan,USA,14,"('Japan', 'USA')"
Singapore,Singapore,12,"('Singapore', 'Singapore')"
Turkey,USA,78,"('Turkey', 'USA')"
USA,Ukraine,4,"('USA', 'Ukraine')"
Canada,South Africa,6,"('Canada', 'South Africa')"
New Zealand,New Zealand,27,"('New Zealand', 'New Zealand')"
Finland,Netherlands,21,"('Finland', 'Netherlands')"
Ireland,Ireland,10,"('Ireland', 'Ireland')"
Turkey,Turkey,37,"('Turkey', 'Turkey')"
Netherlands,U Arab Emirates,1,"('Netherlands', 'U Arab Emirates')"
Australia,U Arab Emirates,6,"('Australia', 'U Arab Emirates')"
Germany,Japan,1,"('Germany', 'Japan')"
U Arab Emirates,USA,14,"('U Arab Emirates', 'USA')"
Austria,Austria,16,"('Austria', 'Austria')"
