Country Pair,Cooperation Intensity Index
"('A. Wren', 'Canada')",0.000970873786407767
"('A. Wren', 'USA')",0.00015530361857431278
"('AUSTRALIA', 'PEOPLES R CHINA')",0.05
"('AUSTRALIA', 'SOUTH AFRICA')",0.02
"('AUSTRALIA', 'UK')",6.901311249137337e-05
"('Aamir Firoz', 'Muhammad')",0.25
"('Aamir Firoz', 'Pakistan')",0.02127659574468085
"('Abdul', 'Malaysia')",0.010869565217391304
"('Abdul', 'Peoples R China')",0.0005030181086519115
"('Abdul', 'Rozaimah')",0.5
"('Abdul Ghafar', 'Bayu Taufiq')",1.0
"('Abdul Ghafar', 'Malaysia')",0.021739130434782608
"('Abdulgawi Salim', 'Belgium')",0.009615384615384616
"('Abdulgawi Salim', 'Brazil')",0.028169014084507043
"('Abdulgawi Salim', 'Brigitte')",0.6666666666666666
"('Abdulgawi Salim', 'Canada')",0.001941747572815534
"('Abdulgawi Salim', 'Egypt')",0.09523809523809523
"('Abdulgawi Salim', 'France')",0.003372681281618887
"('Abdulgawi Salim', 'Hungary')",0.2222222222222222
"('Abdulgawi Salim', 'Italy')",0.0091324200913242
"('Abdulgawi Salim', 'Jian')",0.5
"('Abdulgawi Salim', 'Jingqiu')",0.5
"('Abdulgawi Salim', 'Luigina')",1.0
"('Abdulgawi Salim', 'Malaysia')",0.043478260869565216
"('Abdulgawi Salim', 'Malta')",1.0
"('Abdulgawi Salim', 'Marko')",1.0
"('Abdulgawi Salim', 'Mexico')",0.043478260869565216
"('Abdulgawi Salim', 'Nigeria')",0.125
"('Abdulgawi Salim', 'North Macedonia')",0.3333333333333333
"('Abdulgawi Salim', 'Oman')",0.4
"('Abdulgawi Salim', 'Peoples R China')",0.002012072434607646
"('Abdulgawi Salim', 'Portugal')",0.017543859649122806
"('Abdulgawi Salim', 'Romania')",0.25
"('Abdulgawi Salim', 'Russia')",0.1
"('Abdulgawi Salim', 'Singapore')",0.023529411764705882
"('Abdulgawi Salim', 'Slovenia')",0.06451612903225806
"('Abdulgawi Salim', 'South Africa')",0.023809523809523808
"('Abdulgawi Salim', 'South Korea')",0.012121212121212121
"('Abdulgawi Salim', 'Spain')",0.003738317757009346
"('Abdulgawi Salim', 'Taiwan')",0.009478672985781991
"('Abdulgawi Salim', 'Thailand')",0.11764705882352941
"('Abdulgawi Salim', 'Toto')",1.0
"('Abdulgawi Salim', 'Turkey')",0.02197802197802198
"('Abdulgawi Salim', 'USA')",0.00031060723714862557
"('Abdulgawi Salim', 'Vivien Kim Geok')",0.5
"('Abdullah', 'USA')",0.00015530361857431278
"('Abdullah Hasan', 'Ogeday')",1.0
"('Abdullah Hasan', 'Romania')",0.125
"('Abdullah Hasan', 'UK')",0.0006901311249137336
"('Ace Volkmann', 'Australia')",0.0011723329425556857
"('Ace Volkmann', 'UK')",0.0006901311249137336
"('Achim', 'Australia')",0.0011723329425556857
"('Achim', 'Austria')",0.017241379310344827
"('Achim', 'Denmark')",0.007874015748031496
"('Achim', 'Germany')",0.002336448598130841
"('Achim', 'Sebastian')",0.3333333333333333
"('Achim', 'USA')",0.00015530361857431278
"('Adam', 'France')",0.0016863406408094434
"('Adam', 'Netherlands')",0.002105263157894737
"('Adam', 'UK')",0.0006901311249137336
"('Adang', 'Amanda')",0.3333333333333333
"('Adang', 'Australia')",0.0011723329425556857
"('Adela', 'Australia')",0.0011723329425556857
"('Adela', 'Daniel')",0.1111111111111111
"('Adele', 'Portugal')",0.008771929824561403
"('Adele', 'Spain')",0.001869158878504673
"('Adele', 'USA')",0.00015530361857431278
"('Adelien', 'Belgium')",0.004807692307692308
"('Adelien', 'Italy')",0.0045662100456621
"('Adeline', 'Belgium')",0.004807692307692308
"('Adeline', 'Germany')",0.002336448598130841
"('Adeline', 'Nadja')",1.0
"('Adi', 'USA')",0.00015530361857431278
"('Adriaan', 'Madelijne')",1.0
"('Adriaan', 'Netherlands')",0.002105263157894737
"('Adrian', 'Bernard')",0.3333333333333333
"('Adrian', 'France')",0.0005621135469364812
"('Adrian', 'Gillian')",0.3333333333333333
"('Adrian', 'Norway')",0.003115264797507788
"('Adrian', 'Stefan')",0.047619047619047616
"('Adrian', 'UK')",0.00023004370830457787
"('Adrian', 'USA')",5.1767872858104264e-05
"('Agnes', 'Germany')",0.002336448598130841
"('Agnes', 'UK')",0.0006901311249137336
"('Ahmed Mohammed Sayed', 'Romania')",0.125
"('Ahmed Mohammed Sayed', 'UK')",0.0006901311249137336
"('Aimin', 'Hao')",0.5
"('Aimin', 'Julan')",0.5
"('Aimin', 'Peoples R China')",0.001006036217303823
"('Aimin', 'USA')",0.00015530361857431278
"('Ajnesh', 'Canada')",0.000970873786407767
"('Ajnesh', 'Mexico')",0.021739130434782608
"('Akanksha', 'USA')",0.00015530361857431278
"('Al-Karim', 'Canada')",0.000970873786407767
"('Alaa Mansour', 'Egypt')",0.09523809523809523
"('Alaa Mansour', 'New Zealand')",0.003424657534246575
"('Alaa Mansour', 'UK')",0.0013802622498274672
"('Alan', 'Australia')",0.00023446658851113716
"('Alan', 'Netherlands')",0.0004210526315789474
"('Alan', 'UK')",0.0005521048999309869
"('Alan', 'USA')",0.00012424289485945023
"('Alasdair', 'UK')",0.0006901311249137336
"('Alejandro', 'Peru')",0.14285714285714285
"('Alejandro', 'Spain')",0.001869158878504673
"('Aleksandra', 'Denmark')",0.007874015748031496
"('Aleksandra', 'Lars')",0.3333333333333333
"('Aleksandra', 'Norway')",0.009345794392523364
"('Aleksandra', 'Sweden')",0.008403361344537815
"('Alessandra', 'Australia')",0.0005861664712778429
"('Alessandra', 'USA')",7.765180928715639e-05
"('Alex', 'Canada')",0.00024271844660194174
"('Alex', 'E. Julie')",0.25
"('Alex', 'Kim')",0.125
"('Alex', 'UK')",0.0015527950310559005
"('Alexander', 'Andrea')",0.01818181818181818
"('Alexander', 'Australia')",0.0021101992966002345
"('Alexander', 'Canada')",0.0001941747572815534
"('Alexander', 'Germany')",0.00046728971962616824
"('Alexander', 'Heather')",0.2
"('Alexander', 'Huong')",0.2
"('Alexander', 'Kohyar')",0.2
"('Alexander', 'Norway')",0.001869158878504673
"('Alexander', 'Peoples R China')",0.00020120724346076458
"('Alexander', 'Sukanto')",0.2
"('Alexandro', 'Germany')",0.002336448598130841
"('Ali', 'New Zealand')",0.00684931506849315
"('Ali Iftikhar', 'Pakistan')",0.02127659574468085
"('Ali Iftikhar', 'Syed Azeem')",1.0
"('Ali Osman', 'Turkey')",0.01098901098901099
"('Ali Osman', 'USA')",0.00015530361857431278
"('Alice', 'Australia')",0.0023446658851113715
"('Alice', 'Thomas')",0.2222222222222222
"('Alina', 'Australia')",0.0011723329425556857
"('Alina', 'Jeanette')",0.5
"('Alina', 'USA')",0.00015530361857431278
"('Alina Beattrice', 'Romania')",0.125
"('Alina Beattrice', 'Spain')",0.001869158878504673
"('Alina S. Hernandez', 'Germany')",0.005257009345794392
"('Alina S. Hernandez', 'Lucas')",0.08333333333333333
"('Alina S. Hernandez', 'Peoples R China')",0.00025150905432595576
"('Alina S. Hernandez', 'Ruediger')",0.25
"('Alina S. Hernandez', 'Spain')",0.001869158878504673
"('Alina S. Hernandez', 'USA')",3.8825904643578196e-05
"('Alison', 'Australia')",0.0005861664712778429
"('Alison', 'Carl')",0.5
"('Alison', 'Joanne')",0.5
"('Alison', 'Nicola')",0.125
"('Alison', 'UK')",0.0003450655624568668
"('Allan', 'Australia')",0.0011723329425556857
"('Allan', 'Netherlands')",0.002105263157894737
"('Allan', 'Thailand')",0.058823529411764705
"('Allan', 'UK')",0.0006901311249137336
"('Allison', 'USA')",0.00015530361857431278
"('Almudena', 'Spain')",0.001869158878504673
"('Almudena', 'Yolanda')",1.0
"('Alvaro', 'Chile')",0.041666666666666664
"('Alvaro', 'Colombia')",0.029411764705882353
"('Alvaro', 'Trinidad Tobago')",0.0625
"('Aly', 'Lebanon')",0.02564102564102564
"('Aly', 'Robert')",0.07692307692307693
"('Aly', 'UK')",0.0006901311249137336
"('Alyson', 'Canada')",0.000970873786407767
"('Alyssa', 'USA')",0.00015530361857431278
"('Amal', 'France')",0.0005621135469364812
"('Amal', 'Pakistan')",0.0070921985815602835
"('Amal', 'Saudi Arabia')",0.017543859649122806
"('Amal', 'USA')",5.1767872858104264e-05
"('Amal Hayati', 'Malaysia')",0.021739130434782608
"('Amalia', 'Canada')",0.000970873786407767
"('Amalia', 'Claude')",0.25
"('Amalia', 'Spain')",0.001869158878504673
"('Amama', 'UK')",0.0006901311249137336
"('Amanda', 'Australia')",0.0015631105900742479
"('Amanda', 'Nick')",0.05555555555555555
"('Amanda', 'South Korea')",0.00202020202020202
"('Amanda', 'UK')",0.00023004370830457787
"('Amanda', 'USA')",5.1767872858104264e-05
"('Amber Y-P', 'Hsien Chun')",1.0
"('Amber Y-P', 'I-Heng')",1.0
"('Amber Y-P', 'Taiwan')",0.004739336492890996
"('Amber Y-P', 'USA')",0.00015530361857431278
"('Amber Y-P', 'Ying-Tzu')",1.0
"('Amelia', 'Spain')",0.001869158878504673
"('Amit', 'USA')",0.00015530361857431278
