Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij
CANADA,CANADA,11,"('CANADA', 'CANADA')",51,51,0.046520569
CANADA,USA,11,"('CANADA', 'USA')",51,6439,0.000368465
USA,USA,3663,"('USA', 'USA')",6439,6439,0.323621217
UK,USA,269,"('UK', 'USA')",1449,6439,0.007755642
SINGAPORE,USA,1,"('SINGAPORE', 'USA')",2,6439,7.77E-05
NEW ZEALAND,USA,7,"('NEW ZEALAND', 'USA')",8,6439,0.000951235
TURKEY,USA,1,"('TURKEY', 'USA')",1,6439,0.000155304
HONG KONG,USA,1,"('HONG KONG', 'USA')",7,6439,2.22E-05
Denmark,USA,27,"('Denmark', 'USA')",127,6439,0.000891467
Australia,USA,286,"('Australia', 'USA')",853,6439,0.014892397
Saudi Arabia,USA,12,"('Saudi Arabia', 'USA')",19,6439,0.001177038
Edward,USA,2,"('Edward', 'USA')",2,6439,0.000310607
Kathryn,USA,2,"('Kathryn', 'USA')",3,6439,0.000207071
Peoples R China,USA,485,"('Peoples R China', 'USA')",994,6439,0.036751805
Israel,USA,43,"('Israel', 'USA')",57,6439,0.005037831
Canada,USA,443,"('Canada', 'USA')",1030,6439,0.029590466
Switzerland,USA,44,"('Switzerland', 'USA')",169,6439,0.001779099
Poland,USA,10,"('Poland', 'USA')",13,6439,0.001194643
South Africa,USA,38,"('South Africa', 'USA')",84,6439,0.002669743
Norway,USA,24,"('Norway', 'USA')",107,6439,0.000836027
Brazil,USA,68,"('Brazil', 'USA')",71,6439,0.010114422
Oman,USA,15,"('Oman', 'USA')",5,6439,0.006988663
Kuwait,USA,12,"('Kuwait', 'USA')",9,6439,0.002484858
Belgium,USA,36,"('Belgium', 'USA')",208,6439,0.000967661
Spain,USA,133,"('Spain', 'USA')",535,6439,0.005134889
Ireland,USA,21,"('Ireland', 'USA')",73,6439,0.000938204
Netherlands,USA,154,"('Netherlands', 'USA')",475,6439,0.007754064
Russia,USA,26,"('Russia', 'USA')",20,6439,0.005249262
Mexico,USA,60,"('Mexico', 'USA')",46,6439,0.012154196
Thailand,USA,26,"('Thailand', 'USA')",17,6439,0.006175603
Germany,USA,170,"('Germany', 'USA')",428,6439,0.010486623
Finland,USA,29,"('Finland', 'USA')",163,6439,0.00080129
Bosnia & Herceg,USA,2,"('Bosnia & Herceg', 'USA')",3,6439,0.000207071
Taiwan,USA,91,"('Taiwan', 'USA')",211,6439,0.006095115
India,USA,36,"('India', 'USA')",122,6439,0.001649783
Portugal,USA,70,"('Portugal', 'USA')",114,6439,0.006675331
Malaysia,USA,34,"('Malaysia', 'USA')",46,6439,0.003902847
Singapore,USA,90,"('Singapore', 'USA')",85,6439,0.014799521
Chile,USA,10,"('Chile', 'USA')",12,6439,0.001294197
France,USA,138,"('France', 'USA')",593,6439,0.004987525
Costa Rica,USA,9,"('Costa Rica', 'USA')",9,6439,0.001397733
Italy,USA,77,"('Italy', 'USA')",219,6439,0.004204544
Iran,USA,1,"('Iran', 'USA')",2,6439,7.77E-05
FRANCE,USA,1,"('FRANCE', 'USA')",1,6439,0.000155304
JAPAN,USA,3,"('JAPAN', 'USA')",5,6439,0.000279547
Croatia,USA,22,"('Croatia', 'USA')",6,6439,0.012527825
South Korea,USA,131,"('South Korea', 'USA')",165,6439,0.016152518
Luxembourg,USA,1,"('Luxembourg', 'USA')",3,6439,5.18E-05
Japan,USA,14,"('Japan', 'USA')",24,6439,0.001268313
Turkey,USA,78,"('Turkey', 'USA')",91,6439,0.010383156
New Zealand,USA,56,"('New Zealand', 'USA')",146,6439,0.003335837
U Arab Emirates,USA,14,"('U Arab Emirates', 'USA')",37,6439,0.000822689
Austria,USA,37,"('Austria', 'USA')",58,6439,0.003665701
Argentina,USA,2,"('Argentina', 'USA')",12,6439,5.18E-05
Estonia,USA,20,"('Estonia', 'USA')",13,6439,0.004778573
Sweden,USA,16,"('Sweden', 'USA')",119,6439,0.000334099
Nigeria,USA,22,"('Nigeria', 'USA')",16,6439,0.004697934
M. Tom,USA,4,"('M. Tom', 'USA')",1,6439,0.002484858
Donald,USA,4,"('Donald', 'USA')",1,6439,0.002484858
George,USA,3,"('George', 'USA')",6,6439,0.000232955
Joshua,USA,1,"('Joshua', 'USA')",1,6439,0.000155304
David,USA,8,"('David', 'USA')",29,6439,0.000342739
Beverly,USA,1,"('Beverly', 'USA')",1,6439,0.000155304
Charles,USA,4,"('Charles', 'USA')",3,6439,0.000828286
Christopher,USA,5,"('Christopher', 'USA')",5,6439,0.000776518
Manuel,USA,1,"('Manuel', 'USA')",3,6439,5.18E-05
Jordan,USA,2,"('Jordan', 'USA')",9,6439,6.90E-05
Sandra,USA,2,"('Sandra', 'USA')",5,6439,0.000124243
Dennis,USA,2,"('Dennis', 'USA')",1,6439,0.000621214
Robert,USA,18,"('Robert', 'USA')",13,6439,0.003870644
John,USA,6,"('John', 'USA')",10,6439,0.000559093
Marshall,USA,5,"('Marshall', 'USA')",2,6439,0.001941295
K. Praveen,USA,3,"('K. Praveen', 'USA')",2,6439,0.000698866
Bruce,USA,2,"('Bruce', 'USA')",3,6439,0.000207071
Gita,USA,1,"('Gita', 'USA')",1,6439,0.000155304
R. Edward,USA,6,"('R. Edward', 'USA')",4,6439,0.001397733
Anna-Maija,USA,1,"('Anna-Maija', 'USA')",4,6439,3.88E-05
Maria,USA,5,"('Maria', 'USA')",15,6439,0.000258839
Paul,USA,2,"('Paul', 'USA')",6,6439,0.000103536
Cyprus,USA,2,"('Cyprus', 'USA')",14,6439,4.44E-05
Simone,USA,3,"('Simone', 'USA')",3,6439,0.000465911
Anusorn,USA,2,"('Anusorn', 'USA')",1,6439,0.000621214
Mahesh,USA,2,"('Mahesh', 'USA')",2,6439,0.000310607
Sebnem,USA,3,"('Sebnem', 'USA')",3,6439,0.000465911
Egypt,USA,34,"('Egypt', 'USA')",21,6439,0.008549094
Sean,USA,3,"('Sean', 'USA')",3,6439,0.000465911
Kevin,USA,1,"('Kevin', 'USA')",6,6439,2.59E-05
Greece,USA,8,"('Greece', 'USA')",29,6439,0.000342739
Indonesia,USA,7,"('Indonesia', 'USA')",20,6439,0.000380494
Helen,USA,2,"('Helen', 'USA')",2,6439,0.000310607
Carolyn Strand,USA,2,"('Carolyn Strand', 'USA')",1,6439,0.000621214
Amit,USA,1,"('Amit', 'USA')",1,6439,0.000155304
Adele,USA,1,"('Adele', 'USA')",1,6439,0.000155304
Mukesh,USA,2,"('Mukesh', 'USA')",2,6439,0.000310607
Alan,USA,2,"('Alan', 'USA')",5,6439,0.000124243
Dasaratha,USA,2,"('Dasaratha', 'USA')",1,6439,0.000621214
Silvia,USA,4,"('Silvia', 'USA')",2,6439,0.001242429
Francesco,USA,1,"('Francesco', 'USA')",4,6439,3.88E-05
Jessica,USA,1,"('Jessica', 'USA')",2,6439,7.77E-05
Longinos,USA,1,"('Longinos', 'USA')",2,6439,7.77E-05
Lebanon,USA,12,"('Lebanon', 'USA')",39,6439,0.000573429
Jeanette,USA,1,"('Jeanette', 'USA')",2,6439,7.77E-05
Alina,USA,1,"('Alina', 'USA')",1,6439,0.000155304
Jennifer,USA,5,"('Jennifer', 'USA')",9,6439,0.000431399
Michelle,USA,4,"('Michelle', 'USA')",3,6439,0.000828286
Ginger,USA,2,"('Ginger', 'USA')",1,6439,0.000621214
Nicole,USA,1,"('Nicole', 'USA')",2,6439,7.77E-05
Hungary,USA,14,"('Hungary', 'USA')",9,6439,0.003382168
Chung-Leung,USA,2,"('Chung-Leung', 'USA')",1,6439,0.000621214
Curtis,USA,2,"('Curtis', 'USA')",1,6439,0.000621214
Costanza,USA,1,"('Costanza', 'USA')",1,6439,0.000155304
Jose,USA,1,"('Jose', 'USA')",7,6439,2.22E-05
Reyes,USA,1,"('Reyes', 'USA')",3,6439,5.18E-05
Bill,USA,2,"('Bill', 'USA')",2,6439,0.000310607
Tim,USA,8,"('Tim', 'USA')",4,6439,0.002484858
J. Brooke,USA,2,"('J. Brooke', 'USA')",1,6439,0.000621214
Andres,USA,2,"('Andres', 'USA')",2,6439,0.000310607
Harrison,USA,2,"('Harrison', 'USA')",1,6439,0.000621214
Steven,USA,4,"('Steven', 'USA')",3,6439,0.000828286
Shane,USA,9,"('Shane', 'USA')",3,6439,0.004193198
Jack,USA,1,"('Jack', 'USA')",1,6439,0.000155304
Greg,USA,1,"('Greg', 'USA')",2,6439,7.77E-05
Samuel Michael,USA,3,"('Samuel Michael', 'USA')",2,6439,0.000698866
North Macedonia,USA,18,"('North Macedonia', 'USA')",6,6439,0.008386395
G. Stoney,USA,2,"('G. Stoney', 'USA')",1,6439,0.000621214
Pakistan,USA,20,"('Pakistan', 'USA')",47,6439,0.001321733
Daniel,USA,7,"('Daniel', 'USA')",9,6439,0.000845542
Eva,USA,1,"('Eva', 'USA')",5,6439,3.11E-05
Glen,USA,1,"('Glen', 'USA')",2,6439,7.77E-05
Ralph,USA,1,"('Ralph', 'USA')",2,6439,7.77E-05
Gregory,USA,6,"('Gregory', 'USA')",5,6439,0.001118186
Scott John,USA,5,"('Scott John', 'USA')",2,6439,0.001941295
H. Kristl,USA,4,"('H. Kristl', 'USA')",1,6439,0.002484858
Catherine,USA,1,"('Catherine', 'USA')",4,6439,3.88E-05
Ibrahim,USA,3,"('Ibrahim', 'USA')",1,6439,0.001397733
Shaomin,USA,1,"('Shaomin', 'USA')",1,6439,0.000155304
Amanda,USA,4,"('Amanda', 'USA')",3,6439,0.000828286
Peru,USA,3,"('Peru', 'USA')",7,6439,0.000199676
Dan,USA,5,"('Dan', 'USA')",5,6439,0.000776518
Kiridaran,USA,1,"('Kiridaran', 'USA')",2,6439,7.77E-05
Margot,USA,3,"('Margot', 'USA')",1,6439,0.001397733
Jacob,USA,2,"('Jacob', 'USA')",2,6439,0.000310607
Josh,USA,3,"('Josh', 'USA')",1,6439,0.001397733
Mark,USA,3,"('Mark', 'USA')",3,6439,0.000465911
Loc,USA,3,"('Loc', 'USA')",1,6439,0.001397733
Ron,USA,2,"('Ron', 'USA')",2,6439,0.000310607
Cynthia,USA,5,"('Cynthia', 'USA')",4,6439,0.000970648
Michael,USA,3,"('Michael', 'USA')",8,6439,0.000174717
Brent,USA,1,"('Brent', 'USA')",1,6439,0.000155304
Ran,USA,1,"('Ran', 'USA')",3,6439,5.18E-05
Colombia,USA,21,"('Colombia', 'USA')",17,6439,0.004028759
Marcio de Oliveira,USA,1,"('Marcio de Oliveira', 'USA')",1,6439,0.000155304
Pallab,USA,1,"('Pallab', 'USA')",1,6439,0.000155304
E. Holly,USA,4,"('E. Holly', 'USA')",2,6439,0.001242429
Hsing-Chau,USA,2,"('Hsing-Chau', 'USA')",1,6439,0.000621214
Sviatoslav,USA,1,"('Sviatoslav', 'USA')",1,6439,0.000155304
K. Gregory,USA,2,"('K. Gregory', 'USA')",2,6439,0.000310607
Leigh Plunkett,USA,1,"('Leigh Plunkett', 'USA')",1,6439,0.000155304
Matthew,USA,6,"('Matthew', 'USA')",4,6439,0.001397733
Jeroimo,USA,1,"('Jeroimo', 'USA')",1,6439,0.000155304
Monle,USA,2,"('Monle', 'USA')",1,6439,0.000621214
Jerry,USA,4,"('Jerry', 'USA')",3,6439,0.000828286
Anna,USA,2,"('Anna', 'USA')",7,6439,8.87E-05
Ofelia,USA,6,"('Ofelia', 'USA')",2,6439,0.002795465
Nicholas,USA,2,"('Nicholas', 'USA')",3,6439,0.000207071
Jeroen,USA,3,"('Jeroen', 'USA')",11,6439,0.000127067
Cedric,USA,2,"('Cedric', 'USA')",2,6439,0.000310607
Diana,USA,2,"('Diana', 'USA')",3,6439,0.000207071
Joan,USA,1,"('Joan', 'USA')",1,6439,0.000155304
Hugo,USA,1,"('Hugo', 'USA')",1,6439,0.000155304
James,USA,18,"('James', 'USA')",10,6439,0.005031837
Stephen,USA,2,"('Stephen', 'USA')",2,6439,0.000310607
Harald,USA,1,"('Harald', 'USA')",3,6439,5.18E-05
Cheryl,USA,1,"('Cheryl', 'USA')",1,6439,0.000155304
Karen,USA,3,"('Karen', 'USA')",2,6439,0.000698866
Russell,USA,1,"('Russell', 'USA')",1,6439,0.000155304
Hsien Chun,USA,1,"('Hsien Chun', 'USA')",1,6439,0.000155304
I-Heng,USA,1,"('I-Heng', 'USA')",1,6439,0.000155304
Amber Y-P,USA,1,"('Amber Y-P', 'USA')",1,6439,0.000155304
Pam Scholder,USA,2,"('Pam Scholder', 'USA')",1,6439,0.000621214
Felix,USA,1,"('Felix', 'USA')",5,6439,3.11E-05
Matthias,USA,1,"('Matthias', 'USA')",4,6439,3.88E-05
