Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij,k_i,k_j,Sim_ij
CANADA,CANADA,11,"('CANADA', 'CANADA')",51,51,0.04652056901191849,2,1,0.15251322731474554
CANADA,USA,11,"('CANADA', 'USA')",51,6439,0.0003684654479900362,2,499,0.0006076214740292175
USA,USA,3663,"('USA', 'USA')",6439,6439,0.32362121729624527,47,499,0.003714661903287961
UK,USA,269,"('UK', 'USA')",1449,6439,0.007755641921087541,21,499,0.0008602980817670603
SINGAPORE,USA,1,"('SINGAPORE', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
NEW ZEALAND,USA,7,"('NEW ZEALAND', 'USA')",8,6439,0.0009512346637676657,2,499,0.0009762893759838748
TURKEY,USA,1,"('TURKEY', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
HONG KONG,USA,1,"('HONG KONG', 'USA')",7,6439,2.2186231224901826e-05,2,499,0.00014909960633791784
Denmark,USA,27,"('Denmark', 'USA')",127,6439,0.000891467227879323,60,499,0.0001725547000567282
Australia,USA,286,"('Australia', 'USA')",853,6439,0.014892397168703973,255,499,0.0003421069853532863
Saudi Arabia,USA,12,"('Saudi Arabia', 'USA')",19,6439,0.0011770379513000547,5,499,0.0006868469246606944
Edward,USA,2,"('Edward', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Kathryn,USA,2,"('Kathryn', 'USA')",3,6439,0.00020707149143241705,3,499,0.0003719197622795714
Peoples R China,USA,485,"('Peoples R China', 'USA')",994,6439,0.036751804506179805,129,499,0.0007556039261987965
Israel,USA,43,"('Israel', 'USA')",57,6439,0.0050378314165597255,31,499,0.0005706774282971654
Canada,USA,443,"('Canada', 'USA')",1030,6439,0.02959046586562166,210,499,0.0005313931859377671
Switzerland,USA,44,"('Switzerland', 'USA')",169,6439,0.00177909944118266,11,499,0.0005693161401228524
Poland,USA,10,"('Poland', 'USA')",13,6439,0.001194643219802406,7,499,0.0005848167709123427
South Africa,USA,38,"('South Africa', 'USA')",84,6439,0.00266974315739652,11,499,0.0006974099282455033
Norway,USA,24,"('Norway', 'USA')",107,6439,0.0008360269560635903,18,499,0.0003050869385720078
Brazil,USA,68,"('Brazil', 'USA')",71,6439,0.010114421581515808,65,499,0.0005584233564501094
Oman,USA,15,"('Oman', 'USA')",5,6439,0.006988662835844075,18,499,0.0008820851667238671
Kuwait,USA,12,"('Kuwait', 'USA')",9,6439,0.0024848578971890046,3,499,0.001288367849214313
Belgium,USA,36,"('Belgium', 'USA')",208,6439,0.0009676610080399489,88,499,0.0001484465168807258
Spain,USA,133,"('Spain', 'USA')",535,6439,0.005134889175628072,21,499,0.0007000122131381823
Ireland,USA,21,"('Ireland', 'USA')",73,6439,0.000938204051935232,23,499,0.0002859133679031775
Netherlands,USA,154,"('Netherlands', 'USA')",475,6439,0.007754064459175583,51,499,0.000551987626548895
Russia,USA,26,"('Russia', 'USA')",20,6439,0.005249262307811772,15,499,0.0008374391019893034
Mexico,USA,60,"('Mexico', 'USA')",46,6439,0.012154196236250565,29,499,0.0009164607086762315
Thailand,USA,26,"('Thailand', 'USA')",17,6439,0.006175602715072673,6,499,0.001436196211341787
Germany,USA,170,"('Germany', 'USA')",428,6439,0.01048662284298514,115,499,0.00042748278621277405
Finland,USA,29,"('Finland', 'USA')",163,6439,0.0008012904492085708,76,499,0.00014535765705864194
Bosnia & Herceg,USA,2,"('Bosnia & Herceg', 'USA')",3,6439,0.00020707149143241705,6,499,0.00026298698596517365
Taiwan,USA,91,"('Taiwan', 'USA')",211,6439,0.006095115001961536,19,499,0.0008017959880486796
India,USA,36,"('India', 'USA')",122,6439,0.001649782702232044,34,499,0.0003118341263435935
Portugal,USA,70,"('Portugal', 'USA')",114,6439,0.006675330973808181,23,499,0.0007626446201036153
Malaysia,USA,34,"('Malaysia', 'USA')",46,6439,0.003902847458084904,41,499,0.00043676576273375954
Singapore,USA,90,"('Singapore', 'USA')",85,6439,0.014799521299434511,22,499,0.0011610802046821437
Chile,USA,10,"('Chile', 'USA')",12,6439,0.0012941968214526065,7,499,0.0006086965939628991
France,USA,138,"('France', 'USA')",593,6439,0.00498752464102734,150,499,0.000258134840226011
Costa Rica,USA,9,"('Costa Rica', 'USA')",9,6439,0.001397732567168815,5,499,0.0007484740835694153
Italy,USA,77,"('Italy', 'USA')",219,6439,0.004204544084598632,72,499,0.00034209201266488103
Iran,USA,1,"('Iran', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
FRANCE,USA,1,"('FRANCE', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
JAPAN,USA,3,"('JAPAN', 'USA')",5,6439,0.000279546513433763,1,499,0.0007484740835694153
Croatia,USA,22,"('Croatia', 'USA')",6,6439,0.012527825231661231,29,499,0.0009304404257031638
South Korea,USA,131,"('South Korea', 'USA')",165,6439,0.016152517565780494,26,499,0.0011157917968338212
