Country,Total_Cooperation_Count
A. Wren,2
AUSTRALIA,7
Aamir Firoz,2
Abdul,3
Abdul Ghafar,2
Abdulgawi Salim,90
Abdullah,2
Abdullah Hasan,5
Ace Volkmann,2
Achim,6
Adam,3
Adang,2
Adela,2
Adele,3
Adelien,3
Adeline,5
Adi,2
Adriaan,2
Adrian,9
Agnes,2
Ahmed Mohammed Sayed,2
Aimin,6
Ajnesh,2
Akanksha,2
Al-Karim,3
Alaa Mansour,11
Alan,7
Alasdair,2
Alejandro,2
Aleksandra,5
Alessandra,17
Alex,7
Alexander,13
Alexandro,1
Ali,1
Ali Iftikhar,2
Ali Osman,4
Alice,4
Alina,3
Alina Beattrice,2
Alina S. Hernandez,23
Alison,5
Allan,4
Allison,3
Almudena,2
Alvaro,3
Aly,3
Alyson,2
Alyssa,1
Amal,4
Amal Hayati,1
Amalia,4
Amama,2
Amanda,9
Amber Y-P,5
Amelia,3
Amit,1
Amlan,2
Amr,4
Ana,2
Anastasia,9
Andranik,2
Andre,9
Andrea,23
Andreas,24
Andres,5
Andrew,1
Andriyawan,4
Angel,2
Angeles,1
Angelica,3
Angelo,3
Anis,2
Ann-Louise,10
Anna,12
Anna Clare,2
Anna Katharina,4
Anna Lena,1
Anna-Lena,1
Anna-Maija,12
Anne,17
Anne Leonore,13
Anneli,2
Anni-Kaisa,3
Annika,1
Ans,6
Anthony,8
Antje,1
Antoinette,9
Antonio,4
Anu,1
Anusorn,3
Argentina,20
Ariane Berthoin,2
Aric Xu,6
Arifur,4
Arman,3
Armand,2
Armenia,4
Armenio,46
Armin Pircher,5
Arnaldo,2
Arne,3
Arsalan Mujahid,7
Arthur,4
Ase Marie,9
Asghar,5
Asma,2
Ataur Rahman,2
Audrey,3
Audur Arna,4
Auke,3
Aurelien,2
Australia,1640
Austria,183
Avi,3
Avshalom Madhala,1
Axel,2
Ayesha,2
Ayn,2
Ayse Begum,1
Aysegul,2
Babatunde,2
Bahtisen,3
Bangladesh,6
Bao,3
BaoChun,1
BaoWen,3
Barbados,2
Barbara,16
Barjinder,1
Bayu Taufiq,1
Beatrice,8
Begona,3
Belaid,2
Belen,2
Belgium,489
Ben,1
Benedetto Lorenzo,2
Benedicte,4
Berangere,3
Bernard,2
Bernd,3
Beverly,1
Bianca,1
Bibek,2
Bill,4
Bin,1
Bindu,2
Birger Boutrup,3
Birte,2
Biying,4
Bjoern,4
Blanche,1
Bogdan,2
Bonnie,2
Bosnia & Herceg,10
Bouchra,3
Bradley,6
Bram,1
Brazil,378
Breeda,1
Brendan,6
Brent,2
Brigitte,88
Brooke Fisher,5
Bruce,6
Bruno,3
Bryan,5
Burkard,1
Byungjin,4
Byungki,2
CANADA,22
Cam,8
Camelia,1
Cameroon,7
Camille,6
Canada,1710
Canan,2
Carine,1
Carlos,6
Carmela,4
Carmen,4
Carola,7
Carole,3
Carolin,4
Carolina Serrano,3
Caroline,10
Carolyn Strand,2
Carrie,1
Cass,2
Cassandra,2
Catharina,4
Catherine,4
Cathy Yang,4
Cedric,6
Celia,1
Chad,4
Chaminda,1
Changsu,4
Chanhoo,1
Charalampos,3
Charbel Jose,2
Charbel Jose Chiappetta,16
Charles,5
Chechen,2
Chellie,6
Chen,4
Cheng-Li,2
Chenghao,6
Chenqian,4
Cherise,1
Cheryl,1
Chi-Shiun,3
Chia-Chin,2
Chia-chen,3
Chiara,2
Chieh-Peng,3
Chieh-Yu,1
Chile,17
Chin-Shan,1
Chin-ta,2
Chirag,2
Chris,9
Chris Reinders,12
Christian,11
Christiana,3
Christiane Marie,2
Christine,1
Christof,2
Christofer,2
Christoph,2
Christophe,1
Christopher,11
Christos,5
Chu-Ding,3
Chun Keung,2
Chun-Hsi Vivian,2
Chun-Hsiung,1
Chun-Tuan,1
Chung-Leung,6
Chung-wen,4
ChungMing,3
Cindy,2
Claude,5
Claudia,8
Claudio,6
Claudius,2
Claus,1
Claus-Heinrich,1
Clement,1
Clinton,4
Clodia,3
Colina,1
Colombia,97
Cong,3
Corinna,2
Cormac,4
Cornelia,1
Costa Rica,18
Costanza,3
Crawford,3
Cristina,4
Croatia,81
Curtis,2
Cynthia,8
Cyprus,26
Cyrlene,1
Czech Republic,20
D. Jordan,4
DENMARK,2
Daejoong,1
Dalia,4
Damodar,1
Dan,13
Dana,3
Daniel,20
