Node,X,Y
1,-1.09E-08,0.25
5,-0.75,-6.56E-08
6,-0.353553385,0.353553385
8,-0.49809733,0.043577936
12,-0.409576029,-0.286788195
16,-0.129409492,-0.482962906
17,-0.606762707,-0.440838993
18,-0.231762841,-0.71329236
22,0.21130909,-0.453153908
24,0.231762841,-0.71329236
25,0.606762946,-0.440838695
26,0.453153938,-0.211309016
27,0.75,1.31E-07
28,0.482962906,0.129409581
29,0.606762767,0.440838933
30,0.231762588,0.71329248
32,-0.231763065,0.713292241
35,-0.606762648,0.440839112
37,0.286788225,0.409576029
39,-0.043577794,0.49809736
41,-0.216506332,-0.125000045
47,0.216506392,-0.12499994
48,0,0
